inst.id,inst.ref,inst.jobs,inst.machines,inst.opt.bound.lower,inst.opt.bound.lower.ref
abz5,ABZ1988TSBPFJSS,10,10,1234,AC1991ACSOTJSSP
abz6,ABZ1988TSBPFJSS,10,10,943,AC1991ACSOTJSSP
abz7,ABZ1988TSBPFJSS,20,15,656,M1996ATOATCOSFTJSSP
abz8,ABZ1988TSBPFJSS,20,15,648,VLS2015FDSFCBS
abz9,ABZ1988TSBPFJSS,20,15,678,KNFH2010SOJSSPBSE
dmu01,DMU1998BFSSP,20,15,2501,BB2001SOBIFTJSPBPHTA
dmu02,DMU1998BFSSP,20,15,2651,BB2001SOBIFTJSPBPHTA
dmu03,DMU1998BFSSP,20,15,2731,BB2001SOBIFTJSPBPHTA
dmu04,DMU1998BFSSP,20,15,2601,BB2001SOBIFTJSPBPHTA
dmu05,DMU1998BFSSP,20,15,2749,BB2001SOBIFTJSPBPHTA
dmu06,DMU1998BFSSP,20,20,3042,vH2016DPFRASOSOD
dmu07,DMU1998BFSSP,20,20,2828,vH2016DPFRASOSOD
dmu08,DMU1998BFSSP,20,20,3051,GL2010ETSMBRSFTJSSP
dmu09,DMU1998BFSSP,20,20,2956,GL2010ETSMBRSFTJSSP
dmu10,DMU1998BFSSP,20,20,2858,GL2010ETSMBRSFTJSSP
dmu11,DMU1998BFSSP,30,15,3395,DMU1996BFSSP
dmu12,DMU1998BFSSP,30,15,3481,DMU1996BFSSP
dmu13,DMU1998BFSSP,30,15,3681,DMU1996BFSSP
dmu14,DMU1998BFSSP,30,15,3394,DMU1996BFSSP
dmu15,DMU1998BFSSP,30,15,3343,GL2010ETSMBRSFTJSSP
dmu16,DMU1998BFSSP,30,20,3734,GL2010ETSMBRSFTJSSP
dmu17,DMU1998BFSSP,30,20,3709,GL2010ETSMBRSFTJSSP
dmu18,DMU1998BFSSP,30,20,3844,DMU1996BFSSP
dmu19,DMU1998BFSSP,30,20,3672,vH2016DPFRASOSOD
dmu20,DMU1998BFSSP,30,20,3604,DMU1996BFSSP
dmu21,DMU1998BFSSP,40,15,4380,DMU1996BFSSP
dmu22,DMU1998BFSSP,40,15,4725,DMU1996BFSSP
dmu23,DMU1998BFSSP,40,15,4668,DMU1996BFSSP
dmu24,DMU1998BFSSP,40,15,4648,DMU1996BFSSP
dmu25,DMU1998BFSSP,40,15,4164,DMU1996BFSSP
dmu26,DMU1998BFSSP,40,20,4647,DMU1996BFSSP
dmu27,DMU1998BFSSP,40,20,4848,DMU1996BFSSP
dmu28,DMU1998BFSSP,40,20,4692,DMU1996BFSSP
dmu29,DMU1998BFSSP,40,20,4691,DMU1996BFSSP
dmu30,DMU1998BFSSP,40,20,4732,DMU1996BFSSP
dmu31,DMU1998BFSSP,50,15,5640,DMU1996BFSSP
dmu32,DMU1998BFSSP,50,15,5927,DMU1996BFSSP
dmu33,DMU1998BFSSP,50,15,5728,DMU1996BFSSP
dmu34,DMU1998BFSSP,50,15,5385,DMU1996BFSSP
dmu35,DMU1998BFSSP,50,15,5635,DMU1996BFSSP
dmu36,DMU1998BFSSP,50,20,5621,DMU1996BFSSP
dmu37,DMU1998BFSSP,50,20,5851,DMU1996BFSSP
dmu38,DMU1998BFSSP,50,20,5713,DMU1996BFSSP
dmu39,DMU1998BFSSP,50,20,5747,DMU1996BFSSP
dmu40,DMU1998BFSSP,50,20,5577,DMU1996BFSSP
dmu41,DMU1998BFSSP,20,15,3007,GL2010ETSMBRSFTJSSP
dmu42,DMU1998BFSSP,20,15,3224,vH2016DPFRASOSOD
dmu43,DMU1998BFSSP,20,15,3292,GL2010ETSMBRSFTJSSP
dmu44,DMU1998BFSSP,20,15,3299,vH2016DPFRASOSOD
dmu45,DMU1998BFSSP,20,15,3039,vH2016DPFRASOSOD
dmu46,DMU1998BFSSP,20,20,3575,GL2010ETSMBRSFTJSSP
dmu47,DMU1998BFSSP,20,20,3522,GL2010ETSMBRSFTJSSP
dmu48,DMU1998BFSSP,20,20,3447,GL2010ETSMBRSFTJSSP
dmu49,DMU1998BFSSP,20,20,3403,GL2010ETSMBRSFTJSSP
dmu50,DMU1998BFSSP,20,20,3496,GL2010ETSMBRSFTJSSP
dmu51,DMU1998BFSSP,30,15,3954,vH2016DPFRASOSOD
dmu52,DMU1998BFSSP,30,15,4094,vH2016DPFRASOSOD
dmu53,DMU1998BFSSP,30,15,4141,GL2010ETSMBRSFTJSSP
dmu54,DMU1998BFSSP,30,15,4202,GL2010ETSMBRSFTJSSP
dmu55,DMU1998BFSSP,30,15,4146,vH2016DPFRASOSOD
dmu56,DMU1998BFSSP,30,20,4554,GL2010ETSMBRSFTJSSP
dmu57,DMU1998BFSSP,30,20,4302,GL2010ETSMBRSFTJSSP
dmu58,DMU1998BFSSP,30,20,4319,GL2010ETSMBRSFTJSSP
dmu59,DMU1998BFSSP,30,20,4219,vH2016DPFRASOSOD
dmu60,DMU1998BFSSP,30,20,4319,GL2010ETSMBRSFTJSSP
dmu61,DMU1998BFSSP,40,15,4917,GL2010ETSMBRSFTJSSP
dmu62,DMU1998BFSSP,40,15,5041,vH2016DPFRASOSOD
dmu63,DMU1998BFSSP,40,15,5111,GL2010ETSMBRSFTJSSP
dmu64,DMU1998BFSSP,40,15,5130,DMU1996BFSSP
dmu65,DMU1998BFSSP,40,15,5107,vH2016DPFRASOSOD
dmu66,DMU1998BFSSP,40,20,5397,vH2016DPFRASOSOD
dmu67,DMU1998BFSSP,40,20,5589,GL2010ETSMBRSFTJSSP
dmu68,DMU1998BFSSP,40,20,5426,GL2010ETSMBRSFTJSSP
dmu69,DMU1998BFSSP,40,20,5423,GL2010ETSMBRSFTJSSP
dmu70,DMU1998BFSSP,40,20,5501,GL2010ETSMBRSFTJSSP
dmu71,DMU1998BFSSP,50,15,6080,GL2010ETSMBRSFTJSSP
dmu72,DMU1998BFSSP,50,15,6395,GL2010ETSMBRSFTJSSP
dmu73,DMU1998BFSSP,50,15,6001,GL2010ETSMBRSFTJSSP
dmu74,DMU1998BFSSP,50,15,6123,GL2010ETSMBRSFTJSSP
dmu75,DMU1998BFSSP,50,15,6029,GL2010ETSMBRSFTJSSP
dmu76,DMU1998BFSSP,50,20,6342,GL2010ETSMBRSFTJSSP
dmu77,DMU1998BFSSP,50,20,6499,GL2010ETSMBRSFTJSSP
dmu78,DMU1998BFSSP,50,20,6586,GL2010ETSMBRSFTJSSP
dmu79,DMU1998BFSSP,50,20,6650,GL2010ETSMBRSFTJSSP
dmu80,DMU1998BFSSP,50,20,6459,GL2010ETSMBRSFTJSSP
ft06,FT1963PLCOLJSSR,6,6,55,FTM1971AIEAFTMSP
ft10,FT1963PLCOLJSSR,10,10,930,CP1989AAFSTJSP
ft20,FT1963PLCOLJSSR,20,5,1165,MF1975OSWRTADDTMML
la01,L1998RCPSAEIOHSTS,10,5,666,ABZ1988TSBPFJSS
la02,L1998RCPSAEIOHSTS,10,5,655,ABZ1988TSBPFJSS
la03,L1998RCPSAEIOHSTS,10,5,597,AC1991ACSOTJSSP
la04,L1998RCPSAEIOHSTS,10,5,590,AC1991ACSOTJSSP
la05,L1998RCPSAEIOHSTS,10,5,593,ABZ1988TSBPFJSS
la06,L1998RCPSAEIOHSTS,15,5,926,ABZ1988TSBPFJSS
la07,L1998RCPSAEIOHSTS,15,5,890,ABZ1988TSBPFJSS
la08,L1998RCPSAEIOHSTS,15,5,863,ABZ1988TSBPFJSS
la09,L1998RCPSAEIOHSTS,15,5,951,ABZ1988TSBPFJSS
la10,L1998RCPSAEIOHSTS,15,5,958,ABZ1988TSBPFJSS
la11,L1998RCPSAEIOHSTS,20,5,1222,ABZ1988TSBPFJSS
la12,L1998RCPSAEIOHSTS,20,5,1039,ABZ1988TSBPFJSS
la13,L1998RCPSAEIOHSTS,20,5,1150,ABZ1988TSBPFJSS
la14,L1998RCPSAEIOHSTS,20,5,1292,ABZ1988TSBPFJSS
la15,L1998RCPSAEIOHSTS,20,5,1207,ABZ1988TSBPFJSS
la16,L1998RCPSAEIOHSTS,10,10,945,CP1990APUOJPSFSTJSP
la17,L1998RCPSAEIOHSTS,10,10,784,CP1990APUOJPSFSTJSP
la18,L1998RCPSAEIOHSTS,10,10,848,AC1991ACSOTJSSP
la19,L1998RCPSAEIOHSTS,10,10,842,AC1991ACSOTJSSP
la20,L1998RCPSAEIOHSTS,10,10,902,AC1991ACSOTJSSP
la21,L1998RCPSAEIOHSTS,15,10,1046,VAL1996JSSBLS
la22,L1998RCPSAEIOHSTS,15,10,927,AC1991ACSOTJSSP
la23,L1998RCPSAEIOHSTS,15,10,1032,ABZ1988TSBPFJSS
la24,L1998RCPSAEIOHSTS,15,10,935,AC1991ACSOTJSSP
la25,L1998RCPSAEIOHSTS,15,10,977,AC1991ACSOTJSSP
la26,L1998RCPSAEIOHSTS,20,10,1218,ABZ1988TSBPFJSS
la27,L1998RCPSAEIOHSTS,20,10,1235,ABZ1988TSBPFJSS
la28,L1998RCPSAEIOHSTS,20,10,1216,ABZ1988TSBPFJSS
la29,L1998RCPSAEIOHSTS,20,10,1152,M1996ATOATCOSFTJSSP
la30,L1998RCPSAEIOHSTS,20,10,1355,ABZ1988TSBPFJSS
la31,L1998RCPSAEIOHSTS,30,10,1784,ABZ1988TSBPFJSS
la32,L1998RCPSAEIOHSTS,30,10,1850,ABZ1988TSBPFJSS
la33,L1998RCPSAEIOHSTS,30,10,1719,ABZ1988TSBPFJSS
la34,L1998RCPSAEIOHSTS,30,10,1721,ABZ1988TSBPFJSS
la35,L1998RCPSAEIOHSTS,30,10,1888,ABZ1988TSBPFJSS
la36,L1998RCPSAEIOHSTS,15,15,1268,CP1990APUOJPSFSTJSP
la37,L1998RCPSAEIOHSTS,15,15,1397,AC1991ACSOTJSSP
la38,L1998RCPSAEIOHSTS,15,15,1196,VAL1996JSSBLS
la39,L1998RCPSAEIOHSTS,15,15,1233,AC1991ACSOTJSSP
la40,L1998RCPSAEIOHSTS,15,15,1222,AC1991ACSOTJSSP
orb01,AC1991ACSOTJSSP,10,10,1059,AC1991ACSOTJSSP
orb02,AC1991ACSOTJSSP,10,10,888,AC1991ACSOTJSSP
orb03,AC1991ACSOTJSSP,10,10,1005,AC1991ACSOTJSSP
orb04,AC1991ACSOTJSSP,10,10,1005,AC1991ACSOTJSSP
orb05,AC1991ACSOTJSSP,10,10,887,AC1991ACSOTJSSP
orb06,AC1991ACSOTJSSP,10,10,1010,JM1999DJSSPPAF
orb07,AC1991ACSOTJSSP,10,10,397,JM1999DJSSPPAF
orb08,AC1991ACSOTJSSP,10,10,899,JM1999DJSSPPAF
orb09,AC1991ACSOTJSSP,10,10,934,JM1999DJSSPPAF
orb10,AC1991ACSOTJSSP,10,10,944,JM1999DJSSPPAF
swv01,SWV1992NSSFSPWATJSS,20,10,1407,M1996ATOATCOSFTJSSP
swv02,SWV1992NSSFSPWATJSS,20,10,1475,M1996ATOATCOSFTJSSP
swv03,SWV1992NSSFSPWATJSS,20,10,1398,BB2001SOBIFTJSPBPHTA
