inst.id,inst.ref,inst.jobs,inst.machines,inst.opt.bound.lower,inst.opt.bound.lower.ref,inst.bks,inst.bks.ref,inst.bks.time,inst.bks.time.ref
abz5,ABZ1988TSBPFJSS,10,10,1234,AC1991ACSOTJSSP,1234,AC1991ACSOTJSSP,40,AZ2015AEAGAFSTJSSP
abz6,ABZ1988TSBPFJSS,10,10,943,AC1991ACSOTJSSP,943,AC1991ACSOTJSSP,30,AZ2015AEAGAFSTJSSP
abz7,ABZ1988TSBPFJSS,20,15,656,M1996ATOATCOSFTJSSP,656,H2002PJSSP,1000000,H2002PJSSP
abz8,ABZ1988TSBPFJSS,20,15,648,VLS2015FDSFCBS,665,H2002PJSSP,1000000,H2002PJSSP
abz9,ABZ1988TSBPFJSS,20,15,678,KNFH2010SOJSSPBSE,678,ZSRQ2008SNROTSAATTJSSP,3250,AZ2015AEAGAFSTJSSP
dmu01,DMU1998BFSSP,20,15,2501,BB2001SOBIFTJSPBPHTA,2563,H2002PJSSP,332870,PLC2015ATSPRATSTJSSP
dmu02,DMU1998BFSSP,20,15,2651,BB2001SOBIFTJSPBPHTA,2706,H2002PJSSP,179240,PLC2015ATSPRATSTJSSP
dmu03,DMU1998BFSSP,20,15,2731,BB2001SOBIFTJSPBPHTA,2731,H2002PJSSP,388590,PLC2015ATSPRATSTJSSP
dmu04,DMU1998BFSSP,20,15,2601,BB2001SOBIFTJSPBPHTA,2669,H2002PJSSP,96540,PLC2015ATSPRATSTJSSP
dmu05,DMU1998BFSSP,20,15,2749,BB2001SOBIFTJSPBPHTA,2749,H2002PJSSP,303000,PLC2015ATSPRATSTJSSP
dmu06,DMU1998BFSSP,20,20,3042,vH2016DPFRASOSOD,3244,PSV2010SJSSPUTPOBABV,10000000,PSV2010SJSSPUTPOBABV
dmu07,DMU1998BFSSP,20,20,2828,vH2016DPFRASOSOD,3046,PSV2010SJSSPUTPOBABV,360580,PLC2015ATSPRATSTJSSP
dmu08,DMU1998BFSSP,20,20,3051,GL2010ETSMBRSFTJSSP,3188,PSV2010SJSSPUTPOBABV,295810,PLC2015ATSPRATSTJSSP
dmu09,DMU1998BFSSP,20,20,2956,GL2010ETSMBRSFTJSSP,3092,H2002PJSSP,500000,H2002PJSSP
