algo.id,algo.desc,algo.representation,algo.operator.unary,algo.operator.binary,ref.id,ref.year,inst.id,inst.opt.bound.lower,system.cpu.name,system.cpu.n,system.cpu.cores,system.cpu.threads,system.cpu.mhz,system.runs.are.parallel,system.memory.mb,system.os.name,system.vm.name,system.compiler.name,system.programming.language.name,system.external.tools.list,notes,n.runs,best.f.min,best.f.mean,best.f.med,best.f.mode,best.f.max,best.f.sd,last.improvement.time.min,last.improvement.time.mean,last.improvement.time.med,last.improvement.time.mode,last.improvement.time.max,last.improvement.time.sd,total.time.min,total.time.mean,total.time.med,total.time.mode,total.time.max,total.time.sd,total.fes.min,total.fes.mean,total.fes.med,total.fes.mode,total.fes.max,reach.best.f.min.runs,reach.best.f.min.time.min,reach.best.f.min.time.mean,reach.best.f.min.time.med,reach.best.f.min.time.mode,reach.best.f.min.time.max,reach.best.f.min.time.sd,budget.fes,budget.time
ABC-ASS,ABC,OO,NA,NA,ASS2014ABCAAFTJSSP,2014,la01,666,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABC-ASS,ABC,OO,NA,NA,ASS2014ABCAAFTJSSP,2014,la02,655,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABC-ASS,ABC,OO,NA,NA,ASS2014ABCAAFTJSSP,2014,la03,597,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABC-ASS,ABC,OO,NA,NA,ASS2014ABCAAFTJSSP,2014,la05,593,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACA,ACO+LS,NA,NA,NA,N2015SJSSPUAACO,2015,ft06,55,Intel Core 2 Duo,1,2,2,2000,FALSE,2048,Microsoft Windows,NA,Visual C++,C++,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACA,ACO+LS,NA,NA,NA,N2015SJSSPUAACO,2015,ft10,930,Intel Core 2 Duo,1,2,2,2000,FALSE,2048,Microsoft Windows,NA,Visual C++,C++,NA,NA,NA,930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACA,ACO+LS,NA,NA,NA,N2015SJSSPUAACO,2015,ft20,1165,Intel Core 2 Duo,1,2,2,2000,FALSE,2048,Microsoft Windows,NA,Visual C++,C++,NA,NA,NA,1165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACA,ACO+LS,NA,NA,NA,N2015SJSSPUAACO,2015,la01,666,Intel Core 2 Duo,1,2,2,2000,FALSE,2048,Microsoft Windows,NA,Visual C++,C++,NA,NA,NA,666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACA,ACO+LS,NA,NA,NA,N2015SJSSPUAACO,2015,la02,655,Intel Core 2 Duo,1,2,2,2000,FALSE,2048,Microsoft Windows,NA,Visual C++,C++,NA,NA,NA,655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACA,ACO+LS,NA,NA,NA,N2015SJSSPUAACO,2015,la03,597,Intel Core 2 Duo,1,2,2,2000,FALSE,2048,Microsoft Windows,NA,Visual C++,C++,NA,NA,NA,597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
