inst.id,best.f.min,best.f.max,best.f.mean,n.runs
la01,666,666,666,10
la02,655,663,656.6,10
la03,603,626,614.6,10
la04,590,600,596.2,10
la05,593,593,593,10
la06,926,926,926,10
la07,890,900,892,10
la08,863,863,863,10
la09,951,951,951,10
la10,958,958,958,10
la11,1222,1222,1222,10
la12,1039,1039,1039,10
la13,1150,1150,1150,10
la14,1292,1292,1292,10
la15,1207,1212,1208,10
la16,978,988,984.2,10
la17,983,1016,1002,10
la18,897,935,921.8,10
la19,876,907,888.4,10
la20,914,961,934.6,10
la30,1469,1540,1504,10
la40,1407,1479,1444.2,10
