inst.id,best.f.min,best.f.mean,best.f.sd,total.time.mean
ft06,55,55,0,20000
la01,666,666,0,30000
ft10,930,930,0,300000
orb01,1059,1059,0,300000
orb02,888,888.06,0.2399,300000
orb03,1005,1005,0,300000
orb04,1005,1005.22,0.88733,300000
orb05,887,887,0,300000
orb06,1010,1010.22,0.76372,300000
orb07,397,397,0,300000
orb08,899,899,0,300000
orb09,934,934,0,300000
orb10,944,944,0,300000
la06,926,926,0,150000
la21,1046,1046.92,2.33728,1200000
ft20,1165,1166.38,3.26946,240000
la11,1222,1222,0,240000
la12,1039,1039,0,240000
la13,1150,1150,0,240000
la14,1292,1292,0,240000
la26,1218,1218,0,3120000
la27,1239,1245.98,8.01908,3120000
abz8,672,677.12,9.16914,3300000
abz9,693,694.68,3.8103,3300000
