inst.id,n.runs,best.f.mean
ft06,10,55
ft10,10,930
ft20,10,1165
la01,10,666
la02,10,655
la03,10,597
la04,10,590
la05,10,593
la06,10,926
la07,10,890
la08,10,863
la09,10,951
la10,10,958
la11,10,1222
la12,10,1039
la13,10,1150
la14,10,1292
la15,10,1207
la16,10,945
la17,10,784
la18,10,848
la19,10,842
la20,10,902
la21,10,1055
la22,10,927
la23,10,1032
la24,10,950
la25,10,984
la26,10,1218
la27,10,1250
la28,10,1222
la29,10,1180
la30,10,1355
la31,10,1784
la32,10,1852
la33,10,1720
la34,10,1722
la35,10,1888
la36,10,1278
la37,10,1431
la38,10,1216
la39,10,1246
la40,10,1241
