inst.id,n.runs,best.f.mean
ft06,10,55
ft10,10,930
ft20,10,1165
la01,10,666
la02,10,655
la03,10,597
la04,10,590
la05,10,593
la06,10,926
la07,10,890
la08,10,863
la09,10,951
la10,10,958
la11,10,1222
la12,10,1039
la13,10,1150
la14,10,1292
la15,10,1207
la16,10,946
la17,10,786
la18,10,850
la19,10,846
la20,10,907
la21,10,1062
la22,10,935
la23,10,1034
la24,10,955
la25,10,986
la26,10,1220
la27,10,1266
la28,10,1231
la29,10,1177
la30,10,1357
la31,10,1789
la32,10,1855
la33,10,1723
la34,10,1725
la35,10,1890
la36,10,1281
la37,10,1435
la38,10,1219
la39,10,1248
la40,10,1251
