inst.id,n.runs,budget.time,best.f.min
ta01,1,10000000,1231
ta02,1,10000000,1244
ta03,1,10000000,1218
ta04,1,10000000,1175
ta05,1,10000000,1224
ta06,1,10000000,1238
ta07,1,10000000,1228
ta08,1,10000000,1217
ta09,1,10000000,1274
ta10,1,10000000,1241
ta11,1,10000000,1359
ta12,1,10000000,1367
ta13,1,10000000,1342
ta14,1,10000000,1345
ta15,1,10000000,1339
ta16,1,10000000,1360
ta17,1,10000000,1473
ta18,1,10000000,1396
ta19,1,10000000,1332
ta20,1,10000000,1348
ta21,1,10000000,1647
ta22,1,10000000,1600
ta23,1,10000000,1557
ta24,1,10000000,1647
ta25,1,10000000,1595
ta26,1,10000000,1649
ta27,1,10000000,1685
ta28,1,10000000,1603
ta29,1,10000000,1625
ta30,1,10000000,1584
ta31,1,10000000,1766
ta32,1,10000000,1803
ta33,1,10000000,1798
ta34,1,10000000,1832
ta35,1,10000000,2007
ta36,1,10000000,1819
ta37,1,10000000,1778
ta38,1,10000000,1677
ta39,1,10000000,1798
ta40,1,10000000,1682
ta41,1,10000000,2036
ta42,1,10000000,1963
ta43,1,10000000,1868
ta44,1,10000000,1990
ta45,1,10000000,2005
ta46,1,10000000,2023
ta47,1,10000000,1911
ta48,1,10000000,1964
ta49,1,10000000,1974
ta50,1,10000000,1927
dmu01,1,10000000,2563
dmu02,1,10000000,2706
dmu03,1,10000000,2731
dmu04,1,10000000,2669
dmu05,1,10000000,2749
dmu06,1,10000000,3244
dmu07,1,10000000,3046
dmu08,1,10000000,3188
dmu09,1,10000000,3092
dmu10,1,10000000,2984
dmu11,1,10000000,3457
dmu12,1,10000000,3519
dmu13,1,10000000,3683
dmu14,1,10000000,3394
dmu15,1,10000000,3343
dmu16,1,10000000,3781
dmu17,1,10000000,3841
dmu18,1,10000000,3850
dmu19,1,10000000,3775
dmu20,1,10000000,3731
dmu21,1,10000000,4380
dmu22,1,10000000,4725
dmu23,1,10000000,4668
dmu24,1,10000000,4648
dmu25,1,10000000,4164
dmu26,1,10000000,4688
dmu27,1,10000000,4848
dmu28,1,10000000,4692
dmu29,1,10000000,4691
dmu30,1,10000000,4741
dmu31,1,10000000,5640
dmu32,1,10000000,5927
dmu33,1,10000000,5728
dmu34,1,10000000,5385
dmu35,1,10000000,5635
dmu36,1,10000000,5621
dmu37,1,10000000,5851
dmu38,1,10000000,5713
dmu39,1,10000000,5747
dmu40,1,10000000,5577
dmu41,1,10000000,3264
dmu42,1,10000000,3404
dmu43,1,10000000,3450
dmu44,1,10000000,3489
dmu45,1,10000000,3273
dmu46,1,10000000,4043
dmu47,1,10000000,3953
dmu48,1,10000000,3808
dmu49,1,10000000,3724
dmu50,1,10000000,3737
dmu51,1,10000000,4216
dmu52,1,10000000,4357
dmu53,1,10000000,4424
dmu54,1,10000000,4413
dmu55,1,10000000,4303
dmu56,1,10000000,5017
dmu57,1,10000000,4727
dmu58,1,10000000,4787
dmu59,1,10000000,4638
dmu60,1,10000000,4827
dmu61,1,10000000,5310
dmu62,1,10000000,5358
dmu63,1,10000000,5467
dmu64,1,10000000,5406
dmu65,1,10000000,5242
dmu66,1,10000000,5864
dmu67,1,10000000,5967
dmu68,1,10000000,5861
dmu69,1,10000000,5882
dmu70,1,10000000,6023
dmu71,1,10000000,6452
dmu72,1,10000000,6624
dmu73,1,10000000,6361
dmu74,1,10000000,6432
dmu75,1,10000000,6379
dmu76,1,10000000,7021
dmu77,1,10000000,6940
dmu78,1,10000000,6911
dmu79,1,10000000,7091
dmu80,1,10000000,6880
