inst.id,n.runs,best.f.min,best.f.mean,budget.time
ta11,10,1357,1362.1,3600000
ta12,10,1367,1369.5,3600000
ta13,10,1342,1343.3,3600000
ta14,10,1345,1345,3600000
ta15,10,1339,1339,3600000
ta16,10,1360,1360,3600000
ta17,10,1462,1463.8,3600000
ta18,10,1397,1401,3600000
ta19,10,1332,1333.6,3600000
ta20,10,1348,1353,3600000
ta21,10,1642,1644.4,3600000
ta22,10,1610,1613.1,3600000
ta23,10,1557,1559.2,3600000
ta24,10,1645,1647.6,3600000
ta25,10,1595,1601.4,3600000
ta26,10,1647,1648.8,3600000
ta27,10,1680,1684.1,3600000
ta28,10,1613,1615.7,3600000
ta29,10,1625,1626.3,3600000
ta30,10,1584,1588.7,3600000
ta31,10,1764,1764,3600000
ta32,10,1796,1809.1,3600000
ta33,10,1791,1796.3,3600000
ta34,10,1829,1831,3600000
ta35,10,2007,2007,3600000
ta36,10,1819,1820.7,3600000
ta37,10,1777,1784.5,3600000
ta38,10,1673,1675.1,3600000
ta39,10,1795,1795,3600000
ta40,10,1673,1680.1,3600000
ta41,10,2012,2023.9,3600000
ta42,10,1956,1963,3600000
ta43,10,1863,1880.3,3600000
ta44,10,1991,1998,3600000
ta45,10,2000,2004.6,3600000
ta46,10,2016,2028.9,3600000
ta47,10,1906,1916.6,3600000
ta48,10,1951,1965.3,3600000
ta49,10,1969,1975.4,3600000
ta50,10,1932,1939.2,3600000
