inst.id,n.runs,best.f.max,best.f.mean,best.f.min
ft06,10,55,55,55
ft10,10,930,930,930
ft20,20,1165,1165,1165
la01,10,666,666,666
la02,10,655,655,655
la03,10,597,597,597
la04,10,590,590,590
la05,10,593,593,593
la06,15,926,926,926
la07,15,890,890,890
la08,15,863,863,863
la09,15,951,951,951
la10,15,958,958,958
la11,20,1222,1222,1222
la12,20,1039,1039,1039
la13,20,1150,1150,1150
la14,20,1292,1292,1292
la15,20,1207,1207,1207
la16,10,945,945,945
la17,10,784,784,784
la18,10,848,848,848
la19,10,842,842,842
la20,10,902,902,902
la21,15,1046,1046,1046
la22,15,927,927,927
la23,15,1032,1032,1032
la24,15,935,935,935
la25,15,977,977,977
la26,20,1218,1218,1218
la27,20,1235,1235,1235
la28,20,1216,1216,1216
la29,20,1160,1154.7,1153
la30,20,1355,1355,1355
la31,30,1784,1784,1784
la32,30,1850,1850,1850
la33,30,1719,1719,1719
la34,30,1721,1721,1721
la35,30,1888,1888,1888
la36,15,1268,1268,1268
la37,15,1397,1397,1397
la38,15,1196,1196,1196
la39,15,1233,1233,1233
la40,15,1226,1223.2,1222
orb01,10,1059,1059,1059
orb02,10,888,888,888
orb03,10,1005,1005,1005
orb04,10,1011,1006.2,1005
orb05,10,887,887,887
orb06,10,1010,1010,1010
orb07,10,397,397,397
orb08,10,899,899,899
orb09,10,934,934,934
orb10,10,944,944,944
abz7,20,661,658,656
abz8,20,668,667.7,667
abz9,20,681,678.9,678
yn1,20,889,886,884
yn2,20,909,906.5,904
yn3,20,895,893.1,892
yn4,20,979,973,968
swv01,20,1413,1408.9,1407
swv02,20,1490,1478.2,1475
swv03,20,1404,1400,1398
swv04,20,1478,1472.8,1470
swv05,20,1441,1431.4,1425
swv06,20,1694,1682.1,1675
swv07,20,1609,1601.2,1594
swv08,20,1770,1764.3,1755
swv09,20,1675,1667.9,1656
swv10,20,1772,1754.6,1743
swv11,50,2989,2985.9,2983
swv12,50,2994,2989.7,2979
swv13,50,3140,3111.6,3104
swv14,50,2968,2968,2968
swv15,50,2904,2902.9,2901
ta01,15,1231,1231,1231
ta02,15,1244,1244,1244
ta03,15,1218,1218,1218
ta04,15,1175,1175,1175
ta05,15,1227,1224.9,1224
ta06,15,1240,1238.9,1238
ta07,15,1228,1228,1228
ta08,15,1217,1217,1217
ta09,15,1280,1277,1274
ta10,15,1241,1241,1241
ta11,20,1365,1360,1357
ta12,20,1376,1372.6,1367
ta13,20,1351,1347.3,1344
ta14,20,1345,1345,1345
ta15,20,1360,1348.9,1339
ta16,20,1371,1362.1,1360
ta17,20,1478,1470.5,1462
ta18,20,1407,1400.9,1396
ta19,20,1338,1333.2,1332
ta20,20,1357,1350.4,1348
ta21,20,1650,1647,1642
ta22,20,1600,1600,1600
ta23,20,1570,1562.6,1557
ta24,20,1654,1650.6,1646
ta25,20,1611,1602,1595
ta26,20,1658,1652.3,1643
ta27,20,1689,1685.6,1680
ta28,20,1617,1611.7,1603
ta29,20,1629,1627.4,1625
ta30,20,1598,1588.5,1584
ta31,30,1766,1764.4,1764
ta32,30,1801,1794.1,1785
ta33,30,1799,1793.7,1791
ta34,30,1834,1832.1,1829
ta35,30,2007,2007,2007
ta36,30,1827,1822.9,1819
ta37,30,1784,1777.8,1771
ta38,30,1681,1676.7,1673
ta39,30,1806,1801.6,1795
ta40,30,1689,1678.1,1669
ta41,30,2027,2018.7,2008
ta42,30,1957,1949.3,1937
ta43,30,1874,1863.1,1852
ta44,30,2003,1992.4,1983
ta45,30,2000,2000,2000
ta46,30,2023,2015.5,2004
ta47,30,1908,1902.1,1894
ta48,30,1973,1959.2,1943
ta49,30,1983,1972.6,1964
ta50,30,1932,1927,1925
dmu01,20,2563,2563,2563
dmu02,20,2716,2714.5,2706
dmu03,20,2741,2736.5,2731
dmu04,20,2679,2672.4,2669
dmu05,20,2771,2755.4,2749
dmu06,20,3250,3246.6,3244
dmu07,20,3063,3058.6,3046
dmu08,20,3191,3188.3,3188
dmu09,20,3095,3094.4,3092
dmu10,20,2985,2984.8,2984
dmu11,30,3449,3445.8,3445
dmu12,30,3529,3518.9,3513
dmu13,30,3698,3690.6,3681
dmu14,30,3394,3394,3394
dmu15,30,3343,3343,3343
dmu16,30,3769,3758.9,3751
dmu17,30,3870,3850.6,3830
dmu18,30,3847,3845.4,3844
dmu19,30,3803,3791.8,3770
dmu20,30,3718,3715.3,3712
dmu21,40,4380,4380,4380
dmu22,40,4725,4725,4725
dmu23,40,4668,4668,4668
dmu24,40,4648,4648,4648
dmu25,40,4164,4164,4164
dmu26,40,4686,4658.4,4647
dmu27,40,4848,4848,4848
dmu28,40,4692,4692,4692
dmu29,40,4691,4691,4691
dmu30,40,4732,4732,4732
dmu31,50,5640,5640,5640
dmu32,50,5927,5927,5927
dmu33,50,5728,5728,5728
dmu34,50,5385,5385,5385
dmu35,50,5635,5635,5635
dmu36,50,5621,5621,5621
dmu37,50,5851,5851,5851
dmu38,50,5713,5713,5713
dmu39,50,5747,5747,5747
dmu40,50,5577,5577,5577
dmu41,20,3304,3281.9,3261
dmu42,20,3429,3403.9,3395
dmu43,20,3468,3452.7,3441
dmu44,20,3539,3510.7,3488
dmu45,20,3316,3287.3,3272
dmu46,20,4071,4043.2,4035
dmu47,20,3991,3968,3939
dmu48,20,3812,3800.9,3781
dmu49,20,3735,3729.6,3723
dmu50,20,3776,3746.5,3732
dmu51,30,4258,4222.9,4201
dmu52,30,4366,4352.3,4341
dmu53,30,4438,4420.2,4415
dmu54,30,4409,4402.7,4396
dmu55,30,4310,4299.4,4290
dmu56,30,5026,4968.4,4961
dmu57,30,4716,4704.9,4698
dmu58,30,4759,4752.8,4751
dmu59,30,4641,4633.3,4630
dmu60,30,4786,4777,4774
dmu61,40,5248,5233.3,5224
dmu62,40,5316,5304.4,5301
dmu63,40,5399,5386.6,5357
dmu64,40,5340,5321.8,5312
dmu65,40,5247,5211.5,5197
