inst.id,best.f.min,total.time.min,n.runs
la01,666,2500,1
la02,704,2900,1
la03,650,3000,1
la04,620,2800,1
la05,593,3200,1
la06,926,13600,1
la07,890,12200,1
la08,863,14700,1
la09,951,12100,1
la10,958,14200,1
la11,1222,45400,1
la12,1039,39800,1
la13,1150,44900,1
la14,1292,43300,1
la15,1207,41600,1
la16,988,10700,1
la17,827,9600,1
la18,881,10200,1
la19,882,8000,1
la20,948,8800,1
ft10,1016,74000,1
abz5,1288,10800,1
abz6,980,14600,1
orb01,1174,14500,1
orb02,926,10900,1
orb03,1087,12900,1
orb04,1036,11900,1
orb05,968,11200,1
la21,1154,44000,1
la22,985,44300,1
la23,1051,39800,1
la24,992,39300,1
la25,1073,43100,1
la26,1269,136100,1
la27,1316,129800,1
la28,1373,137200,1
la29,1252,140700,1
la30,1435,144600,1
la31,1784,810300,1
la32,1850,806000,1
la33,1719,818900,1
la34,1780,823500,1
la35,1888,684200,1
la36,1401,98700,1
la37,1503,99200,1
la38,1297,93700,1
la39,1369,95800,1
la40,1347,100000,1
