inst.id,budget.fes,best.f.min
ft06,10000,55
ft10,10000,930
ft20,10000,1165
la01,10000,666
la02,10000,655
la03,10000,597
la04,10000,590
la05,10000,593
la06,10000,926
la07,10000,890
la08,10000,863
la09,10000,951
la10,10000,958
la11,10000,1222
la12,10000,1039
la13,10000,1150
la14,10000,1292
la15,10000,1207
la16,10000,945
la17,10000,784
la18,10000,848
la19,10000,842
la20,10000,902
la21,10000,1046
la22,10000,927
la23,10000,1032
la24,10000,935
la25,10000,977
la26,10000,1218
la27,10000,1235
la28,10000,1216
la29,10000,1162
la30,10000,1355
la31,10000,1784
la32,10000,1850
la33,10000,1719
la34,10000,1721
la35,10000,1888
la36,10000,1268
la37,10000,1397
la38,10000,1196
la39,10000,1233
la40,10000,1225
orb01,10000,1059
orb02,10000,888
orb03,10000,1005
orb04,10000,1005
orb05,10000,887
orb06,10000,1010
orb07,10000,397
orb08,10000,899
orb09,10000,934
orb10,10000,944
abz5,10000,1234
abz6,10000,943
abz7,10000,660
abz8,10000,670
abz9,10000,682
yn1,10000,890
yn2,10000,911
yn3,10000,896
yn4,10000,971
ft06,5600,55
ft10,5600,930
ft20,5600,1165
la01,5600,666
la02,5600,655
la03,5600,597
la04,5600,590
la05,5600,593
la06,5600,926
la07,5600,890
la08,5600,863
la09,5600,951
la10,5600,958
la11,5600,1222
la12,5600,1039
la13,5600,1150
la14,5600,1292
la15,5600,1207
la16,5600,945
la17,5600,784
la18,5600,848
la19,5600,842
la20,5600,902
la21,5600,1046
la22,5600,927
la23,5600,1032
la24,5600,935
la25,5600,977
la26,5600,1218
la27,5600,1235
la28,5600,1216
la29,5600,1162
la30,5600,1355
la31,5600,1784
la32,5600,1850
la33,5600,1719
la34,5600,1721
la35,5600,1888
la36,5600,1268
la37,5600,1397
la38,5600,1196
la39,5600,1233
la40,5600,1225
ft06,6000,55
ft10,6000,930
ft20,6000,1165
la01,6000,666
la02,6000,655
la03,6000,597
la04,6000,590
la05,6000,593
la06,6000,926
la07,6000,890
la08,6000,863
la09,6000,951
la10,6000,958
la11,6000,1222
la12,6000,1039
la13,6000,1150
la14,6000,1292
la15,6000,1207
la16,6000,945
la17,6000,784
la18,6000,848
la19,6000,842
la20,6000,902
la21,6000,1046
la22,6000,927
la23,6000,1032
la24,6000,935
la25,6000,977
la26,6000,1218
la27,6000,1235
la28,6000,1216
la29,6000,1162
la30,6000,1355
la31,6000,1784
la32,6000,1850
la33,6000,1719
la34,6000,1721
la35,6000,1888
la36,6000,1268
la37,6000,1397
la38,6000,1196
la39,6000,1233
la40,6000,1225
ft06,15000,55
ft10,15000,930
ft20,15000,1165
la01,15000,666
la02,15000,655
la03,15000,597
la04,15000,590
la05,15000,593
la06,15000,926
la07,15000,890
la08,15000,863
la09,15000,951
la10,15000,958
la11,15000,1222
la12,15000,1039
la13,15000,1150
la14,15000,1292
la15,15000,1207
la16,15000,945
la17,15000,784
la18,15000,848
la19,15000,842
la20,15000,902
la21,15000,1046
la22,15000,927
la23,15000,1032
la24,15000,935
la25,15000,977
la26,15000,1218
la27,15000,1235
la28,15000,1216
la29,15000,1162
la30,15000,1355
la31,15000,1784
la32,15000,1850
la33,15000,1719
la34,15000,1721
la35,15000,1888
la36,15000,1268
la37,15000,1397
la38,15000,1196
la39,15000,1233
la40,15000,1225
orb01,15000,1059
orb02,15000,888
orb03,15000,1005
orb04,15000,1005
orb05,15000,887
orb06,15000,1010
orb07,15000,397
orb08,15000,899
orb09,15000,934
orb10,15000,944
abz5,15000,1234
abz6,15000,943
abz7,15000,659
abz8,15000,670
abz9,15000,682
yn1,15000,890
yn2,15000,911
yn3,15000,896
yn4,15000,971
