inst.id,best.f.min,n.runs
ft06,55,1
ft10,980,1
ft20,1208,1
abz5,1309,1
abz7,725,1
swv01,1616,1
swv06,1978,1
swv11,3365,1
swv16,2924,1
orb01,1080,1
orb02,924,1
yn1,996,1
yn2,980,1
la01,666,1
la02,655,1
la03,597,1
la04,609,1
la05,593,1
la06,926,1
la07,890,1
la08,863,1
la09,951,1
la10,958,1
la11,1222,1
la12,1047,1
la13,1151,1
la14,1292,1
la15,1221,1
la16,980,1
la17,799,1
la18,859,1
la19,872,1
la20,924,1
la21,1162,1
la22,1021,1
la23,1053,1
la24,1029,1
la25,1067,1
la26,1327,1
la27,1397,1
la28,1386,1
la29,1323,1
la30,1417,1
la31,1854,1
la32,1900,1
la33,1782,1
la34,1880,1
la35,1941,1
la36,1355,1
la37,1540,1
la38,1348,1
la39,1357,1
la40,1336,1
dmu01,2978,1
dmu06,3314,1
dmu11,3938,1
dmu16,4414,1
dmu21,5255,1
dmu26,5695,1
dmu31,6588,1
dmu36,6859,1
dmu41,3754,1
dmu46,4742,1
dmu51,5055,1
dmu56,5893,1
dmu61,6365,1
dmu66,6543,1
dmu71,7912,1
dmu76,8302,1
ta01,1315,1
ta02,1336,1
ta11,1516,1
ta12,1586,1
ta21,1952,1
ta22,1870,1
ta31,1986,1
ta32,2135,1
ta41,2450,1
ta42,2351,1
ta51,3263,1
ta52,3229,1
ta61,3367,1
ta62,3489,1
ta71,5908,1
ta72,5746,1
