inst.id,best.f.min,budget.time
swv04,1482,500000
ta44,1989,500000
swv07,1613,500000
swv08,1759,500000
swv09,1662,500000
swv10,1761,500000
ta13,1342,500000
ta15,1340,500000
ta16,1360,500000
dmu01,2563,500000
dmu02,2706,500000
dmu41,3312,500000
dmu42,3416,500000
dmu43,3455,500000
dmu44,3501,500000
dmu45,3273,500000
dmu61,5349,500000
ta26,1647,500000
dmu06,3252,500000
dmu08,3199,500000
dmu09,3092,500000
dmu10,2985,500000
dmu46,4120,500000
dmu47,3999,500000
dmu48,3834,500000
dmu49,3765,500000
dmu50,3772,500000
ta32,1796,500000
ta38,1673,500000
dmu11,3481,500000
dmu12,3540,500000
dmu13,3699,500000
dmu14,3394,500000
dmu51,4264,500000
dmu52,4401,500000
dmu53,4478,500000
dmu54,4465,500000
dmu55,4402,500000
dmu76,6975,500000
swv11,2988,500000
swv15,2903,500000
dmu79,7164,500000
dmu80,6824,500000
ta41,2018,500000
ta46,2022,500000
ta48,1956,500000
ta49,1968,500000
dmu16,3787,500000
dmu17,3876,500000
dmu18,3852,500000
dmu19,3824,500000
dmu20,3746,500000
dmu56,5163,500000
dmu57,4781,500000
dmu58,4892,500000
dmu59,4864,500000
dmu60,4890,500000
dmu62,5342,500000
dmu63,5437,500000
dmu64,5367,500000
dmu65,5311,500000
dmu71,6373,500000
dmu72,6647,500000
dmu73,6345,500000
dmu74,6376,500000
dmu75,6384,500000
dmu26,4684,500000
dmu27,4848,500000
dmu29,4691,500000
dmu30,4732,500000
dmu66,5910,500000
dmu67,6117,500000
dmu68,5949,500000
dmu69,5915,500000
dmu70,6115,500000
dmu37,5851,500000
dmu77,6969,500000
dmu78,6962,500000
