inst.id,budget.time,best.f.min
ft10,1000000,930
ft20,1000000,1165
swv01,1000000,1407
swv02,1000000,1475
swv03,1000000,1398
swv04,1000000,1483
swv05,1000000,1424
swv06,1000000,1678
swv07,1000000,1620
swv08,1000000,1763
swv09,1000000,1663
swv10,1000000,1767
swv11,1000000,2991
swv12,1000000,3003
swv13,1000000,3104
swv14,1000000,2968
swv15,1000000,2904
swv16,1000000,2924
swv17,1000000,2794
swv18,1000000,2852
swv19,1000000,2843
swv20,1000000,2823
yn1,1000000,886
yn2,1000000,909
yn3,1000000,893
yn4,1000000,968
abz5,1000000,1234
abz6,1000000,943
abz7,1000000,656
abz8,1000000,665
abz9,1000000,679
orb01,1000000,1059
orb02,1000000,888
orb03,1000000,1005
orb04,1000000,1005
orb05,1000000,887
orb06,1000000,1010
orb07,1000000,397
orb08,1000000,899
orb09,1000000,934
orb10,1000000,944
la01,1000000,666
la02,1000000,655
la03,1000000,597
la04,1000000,590
la05,1000000,593
la06,1000000,926
la07,1000000,890
la08,1000000,863
la09,1000000,951
la10,1000000,958
la11,1000000,1222
la12,1000000,1039
la13,1000000,1150
la14,1000000,1292
la15,1000000,1207
la16,1000000,945
la17,1000000,784
la18,1000000,848
la19,1000000,842
la20,1000000,902
la21,1000000,1046
la22,1000000,927
la23,1000000,1032
la24,1000000,935
la25,1000000,977
la26,1000000,1218
la27,1000000,1235
la28,1000000,1216
la29,1000000,1152
la30,1000000,1355
la31,1000000,1784
la32,1000000,1850
la33,1000000,1719
la34,1000000,1721
la35,1000000,1888
la36,1000000,1268
la37,1000000,1397
la38,1000000,1196
la39,1000000,1233
la40,1000000,1222
ta01,1000000,1231
ta02,1000000,1244
ta03,1000000,1218
ta04,1000000,1175
ta05,1000000,1224
ta06,1000000,1238
ta07,1000000,1227
ta08,1000000,1217
ta09,1000000,1274
ta10,1000000,1241
ta11,1000000,1361
ta12,1000000,1367
ta13,1000000,1345
ta14,1000000,1345
ta15,1000000,1342
ta16,1000000,1362
ta17,1000000,1462
ta18,1000000,1396
ta19,1000000,1335
ta20,1000000,1351
ta21,1000000,1644
ta22,1000000,1600
ta23,1000000,1557
ta24,1000000,1648
ta25,1000000,1596
ta26,1000000,1651
ta27,1000000,1680
ta28,1000000,1614
ta29,1000000,1625
ta30,1000000,1584
ta31,1000000,1764
ta32,1000000,1798
ta33,1000000,1793
ta34,1000000,1829
ta35,1000000,2007
ta36,1000000,1819
ta37,1000000,1779
ta38,1000000,1677
ta39,1000000,1795
ta40,1000000,1674
ta41,2000000,2021
ta42,2000000,1956
ta43,2000000,1870
ta44,2000000,1992
ta45,2000000,2000
ta46,2000000,2025
ta47,2000000,1910
ta48,2000000,1962
ta49,2000000,1971
ta50,2000000,1928
ta51,2000000,2760
ta52,2000000,2756
ta53,2000000,2717
ta54,2000000,2839
ta55,2000000,2679
ta56,2000000,2781
ta57,2000000,2943
ta58,2000000,2885
ta59,2000000,2655
ta60,2000000,2723
ta61,2000000,2868
ta62,2000000,2872
ta63,2000000,2755
ta64,2000000,2702
ta65,2000000,2725
ta66,2000000,2845
ta67,2000000,2825
ta68,2000000,2784
ta69,2000000,3071
ta70,2000000,2995
ta71,2000000,5464
ta72,2000000,5181
ta73,2000000,5568
ta74,2000000,5339
ta75,2000000,5392
ta76,2000000,5342
ta77,2000000,5436
ta78,2000000,5394
ta79,2000000,5358
ta80,2000000,5183
dmu01,1000000,2579
dmu02,1000000,2716
dmu03,1000000,2731
dmu04,1000000,2669
dmu05,1000000,2749
dmu06,1000000,3269
dmu07,1000000,3064
dmu08,1000000,3210
dmu09,1000000,3126
dmu10,1000000,3001
dmu11,1000000,3491
dmu12,1000000,3578
dmu13,1000000,3715
dmu14,1000000,3396
dmu15,1000000,3343
dmu16,2000000,3802
dmu17,2000000,3944
dmu18,2000000,3894
dmu19,2000000,3891
dmu20,2000000,3788
dmu21,2000000,4380
dmu22,2000000,4725
dmu23,2000000,4668
dmu24,2000000,4648
dmu25,2000000,4164
dmu26,2000000,4712
dmu27,2000000,4883
dmu28,2000000,4692
dmu29,2000000,4700
dmu30,2000000,4779
dmu31,2000000,5640
dmu32,2000000,5927
dmu33,2000000,5728
dmu34,2000000,5385
dmu35,2000000,5635
dmu36,2000000,5621
dmu37,2000000,5852
dmu38,2000000,5713
dmu39,2000000,5747
dmu40,2000000,5577
dmu41,1000000,3376
dmu42,1000000,3574
dmu43,1000000,3535
dmu44,1000000,3599
dmu45,1000000,3355
dmu46,1000000,4192
dmu47,1000000,4060
dmu48,1000000,3918
dmu49,1000000,3810
dmu50,1000000,3866
dmu51,1000000,4320
dmu52,1000000,4586
dmu53,1000000,4635
dmu54,1000000,4525
dmu55,1000000,4500
dmu56,2000000,5234
dmu57,2000000,4962
dmu58,2000000,5038
dmu59,2000000,5004
dmu60,2000000,5088
dmu61,2000000,5448
dmu62,2000000,5482
dmu63,2000000,5597
dmu64,2000000,5580
dmu65,2000000,5398
dmu66,2000000,6131
dmu67,2000000,6275
dmu68,2000000,6152
dmu69,2000000,6093
dmu70,2000000,6368
dmu71,2000000,6610
dmu72,2000000,6790
dmu73,2000000,6536
dmu74,2000000,6623
dmu75,2000000,6552
dmu76,2000000,7454
dmu77,2000000,7329
dmu78,2000000,7301
dmu79,2000000,7590
dmu80,2000000,7173
