inst.id,n.runs,best.f.mean,last.improvement.time.mean,best.f.min,reach.best.f.min.runs,budget.fes,reach.best.f.min.time.mean
ft10,30,930.53,126100,930,28,500000,NA
abz5,30,1234.46,202490,1234,24,500000,NA
abz7,10,NA,NA,670,NA,50000000,35800000
abz8,10,NA,NA,683,NA,50000000,20400000
abz9,10,NA,NA,686,NA,50000000,194000000
la21,10,NA,NA,1046,1,50000000,59000000
la24,10,NA,NA,935,4,50000000,17500000
la25,10,NA,NA,977,4,50000000,5650000
la27,10,NA,NA,1236,NA,50000000,113000000
la29,10,NA,NA,1167,NA,50000000,200000000
la38,10,NA,NA,1196,1,50000000,27900000
la40,10,NA,NA,1224,NA,50000000,27200000
