inst.id,best.f.min,best.f.mean,best.f.sd,total.fes.mean,n.runs
la01,666,667.8,2.3,2375,30
la02,669,689.7,6.2,2809,30
la03,623,644.8,8,2230,30
la04,611,617.7,5,2257,30
la05,593,593,0,101,30
la06,926,926,0,531,30
la07,890,898.2,5.6,3443,30
la08,863,863.1,0.4,2251,30
la09,951,951,0,391,30
la10,958,958,0,637,30
la11,1222,1222,0,1504,30
la12,1039,1039,0,1752,30
la13,1150,1150,0.2,2952,30
la14,1292,1292,0,471,30
la15,1212,1245.6,9.9,3836,30
la16,1005,1020.1,10.1,2700,30
la17,812,836.1,10.9,2401,30
la18,885,904.8,9.8,2946,30
la19,875,881.7,4.7,2394,30
la20,912,936.8,9.6,2496,30
la21,1107,1162.3,16.4,3658,30
la22,1018,1050.2,14.2,2938,30
la23,1051,1069.2,10,3826,30
la24,1011,1033.5,8.3,3097,30
la25,1062,1093.3,14.1,3632,30
la26,1296,1339.6,16.2,5955,30
la27,1362,1379.8,9.6,4450,30
la28,1330,1363.8,13.9,3938,30
la29,1339,1374.4,11.9,4532,30
la30,1410,1443.2,15,5186,30
la31,1798,1825.8,12.5,7098,30
la32,1868,1906,20.7,8016,30
la33,1731,1771,15.1,5796,30
la34,1788,1823.9,13.9,6811,30
la35,1913,1974.1,22.8,7357,30
la36,1396,1430.4,18.5,3405,30
la37,1517,1544.2,12.7,2142,30
la38,1315,1343.8,10.1,4051,30
la39,1304,1359.5,16.2,3266,30
la40,1307,1323.7,9.2,2655,30
