inst.id,best.f.min,budget.time,total.time.min,reach.best.f.min.time.min,n.runs
ta11,1357,30000000,NA,NA,1
ta12,1367,30000000,3000000,NA,1
ta13,1342,30000000,NA,NA,1
ta15,1339,30000000,NA,NA,1
ta16,1360,30000000,NA,NA,1
ta18,1396,30000000,NA,NA,1
ta19,1332,30000000,NA,8518000,1
ta20,1348,30000000,NA,NA,1
ta21,1642,30000000,27000000,NA,1
ta22,1600,30000000,NA,NA,1
ta23,1557,30000000,NA,NA,1
ta24,1644,30000000,NA,NA,1
ta25,1595,30000000,NA,NA,1
ta26,1643,30000000,NA,NA,1
ta27,1680,30000000,NA,NA,1
ta28,1603,30000000,NA,NA,1
ta29,1625,30000000,NA,NA,1
ta30,1584,30000000,NA,NA,1
ta33,1791,30000000,NA,NA,1
ta40,1669,30000000,NA,NA,1
ta41,2005,30000000,NA,NA,1
ta42,1937,30000000,NA,NA,1
ta44,1979,30000000,NA,NA,1
ta46,2004,30000000,NA,NA,1
ta47,1889,30000000,NA,NA,1
ta49,1961,30000000,NA,NA,1
ta50,1923,30000000,NA,NA,1
abz7,656,30000000,NA,NA,1
abz8,667,30000000,NA,NA,1
abz9,678,30000000,NA,NA,1
swv03,1398,30000000,NA,NA,1
swv04,1464,30000000,NA,NA,1
swv05,1424,30000000,NA,NA,1
swv06,1671,30000000,NA,NA,1
swv07,1595,30000000,NA,NA,1
swv08,1752,30000000,NA,NA,1
swv09,1655,30000000,NA,NA,1
swv10,1743,30000000,NA,NA,1
yn1,884,30000000,NA,NA,1
yn2,904,30000000,NA,NA,1
yn3,892,30000000,NA,NA,1
yn4,968,30000000,NA,NA,1
