inst.id,best.f.max,best.f.mean,best.f.min,total.time.mean,n.runs
ft06,60,56,55,50,20
ft10,967,949.6,935,18300,20
ft20,1180,1175.8,1173,20040,20
la01,666,666,666,80,20
la02,655,655,655,2220,20
la03,597,597,597,3170,20
la04,590,590,590,3840,20
la05,593,593,593,0,20
la06,926,926,926,10,20
la07,890,890,890,280,20
la08,863,863,863,170,20
la09,951,951,951,40,20
la10,958,958,958,20,20
la11,1222,1222,1222,80,20
la12,1039,1039,1039,60,20
la13,1150,1150,1150,150,20
la14,1292,1292,1292,0,20
la15,1207,1207,1207,430,20
la16,979,966.8,956,15950,20
la17,784,784,784,14770,20
la18,861,853,848,14300,20
la19,849,846.2,842,11200,20
la20,907,906,902,13480,20
la21,1070,1062.6,1057,37020,20
la22,946,942.2,935,38630,20
la23,1032,1032,1032,2240,20
la24,955,947.4,942,32460,20
la25,993,990.6,988,36150,20
la26,1218,1218,1218,20680,20
la27,1277,1269,1264,62700,20
la28,1234,1224.6,1218,60720,20
la29,1215,1199.4,1188,67460,20
la30,1355,1355,1355,8430,20
orb01,1101,1086,1064,20780,20
orb02,897,894.8,889,19130,20
orb03,1078,1047.6,1022,23250,20
orb04,1035,1025.4,1018,24810,20
orb05,914,901,894,22480,20
orb06,1031,1022.2,1013,20920,20
orb07,406,401.2,397,18900,20
orb08,933,926.2,919,21610,20
orb09,947,940.6,934,24890,20
orb10,952,947.8,944,17360,20
abz5,1249,1242.4,1239,5220,20
abz6,966,951.8,947,5160,20
abz7,705,695.8,691,24010,20
abz8,726,712.6,705,25250,20
abz9,738,730.6,721,25090,20
ta11,1431,1423.9,1410,154500,30
ta12,1424,1412.6,1404,134000,30
ta13,1395,1384.3,1375,165200,30
ta14,1391,1377.2,1375,160900,30
ta15,1405,1396.9,1387,199200,30
ta16,1425,1407.4,1398,190600,30
ta17,1515,1505.1,1496,207700,30
ta18,1437,1427,1422,167800,30
ta19,1421,1409.7,1398,192300,30
ta20,1431,1422.5,1416,213100,30
ta21,1692,1679.8,1672,249500,30
ta22,1634,1621.4,1607,304900,30
ta23,1603,1592.9,1581,366800,30
ta24,1715,1699.1,1683,290100,30
ta25,1674,1653.8,1637,385800,30
ta26,1724,1700.2,1687,425200,30
ta27,1765,1754.2,1742,343400,30
ta28,1674,1660.6,1648,243900,30
ta29,1706,1691.1,1678,314900,30
ta30,1671,1659.1,1644,372400,30
ta31,1827,1801.4,1785,289500,30
ta32,1899,1881.3,1863,406400,30
ta33,1847,1833.8,1813,389400,30
ta34,1883,1868.4,1851,262700,30
ta35,2087,2068.6,2043,345900,30
ta36,2012,1888.8,1867,425900,30
ta37,1901,1875.7,1852,461900,30
ta38,1749,1732.7,1716,463600,30
ta39,1867,1854,1837,299000,30
ta40,1777,1754.8,1736,469000,30
ta41,2132,2109.2,2082,753100,30
ta42,2046,2022.7,1994,742600,30
ta43,1966,1938.6,1902,389100,30
ta44,2133,2097.6,2054,501600,30
ta45,2153,2134.5,2084,791500,30
ta46,2161,2138.1,2086,481900,30
ta47,2038,2014.7,1952,397500,30
ta48,2142,2097.4,2025,815100,30
ta49,2157,2101.2,2024,571500,30
ta50,2101,2064.9,1988,746400,30
