inst.id,best.f.min,best.f.mean
abz5,1425,1443.8
abz6,1056,1103.8
la01,700,720.6
la02,718,731.2
la03,645,659.8
la04,675,694.4
la05,605,622
la06,941,966.2
la07,903,925.2
la08,905,940.4
la09,1009,1038.6
la10,987,1004.8
la11,1264,1271.4
la12,1069,1090.8
la13,1213,1227.6
la14,1300,1307.8
la15,1294,1326.4
la16,1080,1120.8
la17,868,899.2
la18,986,1011.6
la19,980,1014
la20,980,1055.4
la21,1285,1310.2
la22,1160,1185.8
la23,1228,1289.6
la24,1179,1217.8
la25,1174,1213.8
orb01,1165,1230.2
orb02,1005,1045.4
orb03,1176,1186.8
orb04,1202,1234.2
orb05,980,985.8
