inst.id,best.f.min,best.f.mean,budget.fes
ft06,55,65.712,50000
ft10,971,1100.9,50000
ft20,1206,1383.08,50000
abz5,1259,1386.12,50000
abz6,971,1075.97,50000
abz7,742,804.892,50000
abz8,758,825.982,50000
abz9,752,849.838,50000
la01,666,796.901,50000
la02,655,774.664,50000
la03,617,687.389,50000
la04,607,690.822,50000
la05,593,658.885,50000
la06,926,1021.85,50000
la07,890,1015.05,50000
la08,863,985.795,50000
la09,951,1084.34,50000
la10,958,1045.73,50000
la11,1222,1334.96,50000
la12,1039,1157.8,50000
la13,1150,1278.51,50000
la14,1292,1348.95,50000
la15,1207,1352.88,50000
la16,979,1066.88,50000
la17,797,885.073,50000
la18,861,967.819,50000
la19,875,972.302,50000
la20,936,1040.62,50000
la21,1105,1247.82,50000
la22,972,1125.68,50000
la23,1035,1168.18,50000
la24,1004,1134.02,50000
la25,1040,1170.37,50000
la26,1269,1424.04,50000
la27,1341,1500.85,50000
la28,1301,1456.94,50000
la29,1274,1416.42,50000
la30,1418,1554.81,50000
la31,1784,1938.51,50000
la32,1850,2029.95,50000
la33,1719,1873.95,50000
la34,1757,1916.99,50000
la35,1890,2079.74,50000
la36,1348,1492.07,50000
la37,1486,1651.36,50000
la38,1319,1474.01,50000
la39,1316,1479.86,50000
la40,1296,1460.38,50000
orb01,1124,1277.16,50000
orb02,924,1031.34,50000
orb03,1067,1232.93,50000
orb04,1028,1154.35,50000
orb05,931,1056.76,50000
orb06,1046,1213.47,50000
orb07,419,467.724,50000
orb08,928,1075.88,50000
orb09,949,1059.32,50000
orb10,977,1125.03,50000
