inst.id,best.f.min,best.f.mean
abz5,1283,1284.8
abz6,967,971.4
la01,666,666
la02,684,684
la03,625,625
la04,590,590
la05,593,593
la06,926,926
la07,890,890
la08,863,863
la09,951,951
la10,958,958
la11,1222,1222
la12,1039,1039
la13,1150,1150
la14,1292,1292
la15,1207,1207
la16,994,996.4
la17,792,792.4
la18,857,858.2
la19,869,871
la20,941,941
la21,1105,1120
la22,963,973.4
la23,1032,1032
la24,1000,1006
la25,1053,1059.4
orb01,1128,1133.6
orb02,911,911.4
orb03,1074,1079.2
orb04,1028,1040.6
orb05,911,912.8
