inst.id,best.f.min,best.f.mean,budget.fes
ft06,55,61.822,50000
ft10,992,1145.06,50000
ft20,1245,1427.24,50000
abz5,1287,1409.87,50000
abz6,996,1096.13,50000
abz7,751,817.937,50000
abz8,763,838.59,50000
abz9,773,873.541,50000
la01,674,746.506,50000
la02,660,745.747,50000
la03,626,690.773,50000
la04,619,699.926,50000
la05,593,606.404,50000
la06,926,958.039,50000
la07,893,983.784,50000
la08,863,959.264,50000
la09,951,988.331,50000
la10,958,971.19,50000
la11,1222,1264.12,50000
la12,1039,1104.58,50000
la13,1150,1191.37,50000
la14,1292,1295.72,50000
la15,1227,1368.04,50000
la16,988,1088.68,50000
la17,832,905.275,50000
la18,885,976.877,50000
la19,899,983.686,50000
la20,944,1039.52,50000
la21,1115,1264.74,50000
la22,1031,1161.32,50000
la23,1037,1180.52,50000
la24,1029,1155.7,50000
la25,1036,1175.69,50000
la26,1304,1466.35,50000
la27,1421,1539.77,50000
la28,1334,1463.16,50000
la29,1307,1429.08,50000
la30,1444,1592.45,50000
la31,1785,1934.69,50000
la32,1855,2024.57,50000
la33,1719,1871.39,50000
la34,1801,1941.67,50000
la35,1919,2116.75,50000
la36,1385,1519.31,50000
la37,1548,1698.19,50000
la38,1369,1494.87,50000
la39,1383,1519.21,50000
la40,1360,1485.68,50000
orb01,1150,1304.67,50000
orb02,949,1045,50000
orb03,1080,1262.65,50000
orb04,1075,1164.81,50000
orb05,969,1109.28,50000
orb06,1116,1272.66,50000
orb07,425,472.424,50000
orb08,969,1135.78,50000
orb09,958,1066.74,50000
orb10,991,1128.54,50000
