inst.id,best.f.min
abz5,1234
abz6,943
abz7,695
abz8,708
abz9,720
ft06,55
ft10,930
ft20,1165
la01,666
la02,655
la03,597
la04,590
la05,593
la06,926
la07,890
la08,863
la09,951
la10,958
la11,1222
la12,1039
la13,1150
la14,1292
la15,1207
la16,946
la17,784
la18,848
la19,842
la20,902
la21,1052
la22,935
la23,1032
la24,949
la25,984
la26,1218
la27,1252
la28,1234
la29,1213
la30,1355
la31,1784
la32,1850
la33,1719
la34,1721
la35,1888
la36,1282
la37,1411
la38,1219
la39,1250
la40,1246
orb01,1059
orb02,888
orb03,1021
orb04,1011
orb05,889
orb06,1013
orb07,397
orb08,899
orb09,934
orb10,944
