inst.id,best.f.min,best.f.mean
abz5,1300,1332.2
abz6,1037,1058
la01,666,688.6
la02,676,698.8
la03,631,648
la04,607,629.6
la05,593,593
la06,926,926
la07,947,963.8
la08,863,881.6
la09,951,951
la10,958,958
la11,1222,1222
la12,1039,1041.4
la13,1150,1155.2
la14,1292,1292
la15,1274,1294.8
la16,1014,1036.2
la17,820,865.2
la18,933,948
la19,937,965.4
la20,989,1018
la21,1224,1289.6
la22,1078,1135
la23,1157,1215.6
la24,1084,1113.4
la25,1109,1216.6
orb01,1216,1270.4
orb02,960,1008.4
orb03,1197,1257.2
orb04,1049,1110.2
orb05,1024,1073
