inst.id,best.f.min,best.f.mean,budget.fes
ft06,55,64.889,50000
ft10,989,1116.02,50000
ft20,1220,1394.47,50000
abz5,1275,1394.79,50000
abz6,958,1072.19,50000
abz7,734,821.16,50000
abz8,751,833.362,50000
abz9,784,877.468,50000
la01,666,783.616,50000
la02,665,748.122,50000
la03,620,688.729,50000
la04,595,695.259,50000
la05,593,640.494,50000
la06,926,1000.79,50000
la07,890,998.253,50000
la08,863,981.109,50000
la09,951,1051.15,50000
la10,958,1017.01,50000
la11,1222,1308.89,50000
la12,1039,1132.34,50000
la13,1150,1248.7,50000
la14,1292,1320.59,50000
la15,1207,1336.66,50000
la16,982,1083.26,50000
la17,793,890.389,50000
la18,861,962.052,50000
la19,875,970.966,50000
la20,907,1022.37,50000
la21,1098,1252.76,50000
la22,988,1146.21,50000
la23,1045,1188.52,50000
la24,1006,1135.91,50000
la25,1055,1177.18,50000
la26,1279,1457.86,50000
la27,1363,1529.94,50000
la28,1295,1454.95,50000
la29,1302,1441.65,50000
la30,1429,1576.32,50000
la31,1784,1927.56,50000
la32,1850,2019.59,50000
la33,1725,1890.07,50000
la34,1782,1942.11,50000
la35,1905,2090.49,50000
la36,1343,1515.99,50000
la37,1506,1674.69,50000
la38,1307,1455.03,50000
la39,1325,1486.54,50000
la40,1330,1469.25,50000
orb01,1130,1262.1,50000
orb02,919,1047.74,50000
orb03,1116,1254.65,50000
orb04,1055,1176.34,50000
orb05,945,1075.54,50000
orb06,1093,1248.37,50000
orb07,415,469.22,50000
orb08,940,1113.01,50000
orb09,953,1080.08,50000
orb10,989,1150.48,50000
