inst.id,best.f.min,best.f.mean
abz5,1466,1512
abz6,1071,1140.2
la01,675,701
la02,715,754
la03,669,689.6
la04,633,695.6
la05,593,595.6
la06,926,931.8
la07,931,971.2
la08,895,922.8
la09,951,966.6
la10,958,967
la11,1242,1276.4
la12,1088,1121.6
la13,1189,1201.8
la14,1292,1292
la15,1390,1425.4
la16,1078,1167.4
la17,906,949.2
la18,977,1009.6
la19,956,1004.4
la20,958,1086.2
la21,1353,1426.4
la22,1270,1305.2
la23,1332,1348.8
la24,1178,1284.8
la25,1270,1357.4
orb01,1321,1391.4
orb02,1021,1088.6
orb03,1302,1362.8
orb04,1158,1252.4
orb05,1120,1178
