inst.id,best.f.min,best.f.mean
abz5,1299,1311.2
abz6,996,1009.2
la01,671,684.6
la02,675,692.2
la03,650,658.4
la04,629,667.2
la05,593,593
la06,926,937
la07,894,930
la08,866,877.2
la09,951,958
la10,958,958.2
la11,1222,1223.8
la12,1039,1050
la13,1150,1156.4
la14,1292,1292
la15,1274,1304.2
la16,1003,1034.6
la17,822,838.4
la18,901,930.8
la19,892,919.2
la20,944,969.4
la21,1189,1212.2
la22,1078,1098
la23,1124,1154
la24,1059,1094.4
la25,1070,1112.6
orb01,1106,1152.6
orb02,939,966
orb03,1120,1151
orb04,1137,1158.8
orb05,986,1008.6
