inst.id,best.f.min,best.f.mean,budget.fes
ft06,55,66.648,50000
ft10,958,1100.42,50000
ft20,1242,1426.54,50000
abz5,1267,1390.94,50000
abz6,978,1080.3,50000
abz7,730,807.128,50000
abz8,755,826.954,50000
abz9,764,859.258,50000
la01,666,782.789,50000
la02,667,757.79,50000
la03,620,699.527,50000
la04,602,688.268,50000
la05,593,699.114,50000
la06,926,1075.5,50000
la07,890,994.044,50000
la08,863,995.054,50000
la09,951,1167.81,50000
la10,958,1089.97,50000
la11,1222,1389.85,50000
la12,1039,1226.58,50000
la13,1150,1314.64,50000
la14,1292,1388.82,50000
la15,1207,1352.41,50000
la16,987,1071.61,50000
la17,807,888.012,50000
la18,883,977.685,50000
la19,877,976.925,50000
la20,914,1041.05,50000
la21,1111,1281.85,50000
la22,990,1133.83,50000
la23,1068,1187.63,50000
la24,995,1149.69,50000
la25,1058,1178.36,50000
la26,1310,1446.12,50000
la27,1374,1538.38,50000
la28,1284,1453.35,50000
la29,1270,1425.34,50000
la30,1432,1591.74,50000
la31,1784,1933.39,50000
la32,1853,2031.31,50000
la33,1725,1883.41,50000
la34,1793,1941.16,50000
la35,1906,2097.97,50000
la36,1352,1498.9,50000
la37,1496,1687.76,50000
la38,1299,1486.33,50000
la39,1363,1508.05,50000
la40,1338,1492.6,50000
orb01,1126,1277.02,50000
orb02,931,1060.46,50000
orb03,1065,1230.21,50000
orb04,1053,1160.75,50000
orb05,931,1064.55,50000
orb06,1067,1233.12,50000
orb07,418,470.205,50000
orb08,947,1102.29,50000
orb09,964,1079.28,50000
orb10,980,1122.7,50000
