inst.id,best.f.min,best.f.mean
abz5,1327,1373.4
abz6,1016,1055
la01,666,682
la02,686,719
la03,637,655
la04,614,623.8
la05,593,593
la06,926,934.8
la07,910,945.4
la08,863,886.6
la09,951,955.6
la10,958,958
la11,1222,1222
la12,1039,1051.8
la13,1150,1157.8
la14,1292,1292
la15,1303,1357.2
la16,1021,1069
la17,816,861
la18,928,961.4
la19,910,946.4
la20,1035,1047.4
la21,1230,1286.4
la22,1074,1160.8
la23,1199,1251.6
la24,1147,1189
la25,1184,1219.2
orb01,1253,1318
orb02,1001,1030.4
orb03,1200,1244.6
orb04,1091,1163.4
orb05,1014,1076.8
