inst.id,n.runs,best.f.min,total.time.min
ft10,1,930,85500
la02,1,655,18300
la19,1,846,51800
la21,1,1053,171000
la24,1,950,119000
la25,1,982,179000
la27,1,1244,312000
la29,1,1157,389000
la36,1,1269,182000
la37,1,1425,235000
la38,1,1213,271000
la39,1,1233,385000
la40,1,1260,191000
la06,1,926,NA
la07,1,890,NA
la08,1,863,NA
la09,1,951,NA
la10,1,958,NA
la11,1,1222,NA
la12,1,1039,NA
la13,1,1150,NA
la14,1,1292,NA
la15,1,1207,NA
la30,1,1355,NA
la31,1,1784,NA
la32,1,1850,NA
la33,1,1719,NA
la34,1,1721,NA
la35,1,1888,NA
