inst.id,n.runs,best.f.min,best.f.mean,total.time.mean
ft06,10,55,55,6600
ft10,10,940,965.34,62200
ft20,10,1178,1184.6885,76100
la01,10,666,666,13800
la02,10,655,662.598,14500
la03,10,597,608.4027,14300
la04,10,590,593.717,12900
la05,10,593,593,13600
la06,10,926,926,36100
la07,10,890,890,34900
la08,10,863,863,38100
la09,10,951,951,35900
la10,10,958,958,34000
la11,10,1222,1222,71300
la12,10,1039,1039,72000
la13,10,1150,1150,71400
la14,10,1292,1292,67500
la15,10,1207,1207,74600
la16,10,956,974.9565,61100
la17,10,790,792.624,60300
la18,10,859,868.352,58900
la19,10,845,853.2828,61200
la20,10,937,952.512,60800
la21,10,1090,1113.0486,153400
la22,10,970,998.2863,154300
la23,10,1032,1036.8504,150900
la24,10,982,987.36,155800
la25,10,1008,1026.4362,160500
la26,10,1239,1260.3864,324500
la27,10,1290,1311.4465,314800
la28,10,1263,1290.4192,325000
la29,10,1244,1258.7904,313200
la30,10,1355,1371.531,316400
la31,10,1784,1784,877200
la32,10,1850,1850,837200
la33,10,1719,1719,856500
la34,10,1721,1725.9909,833200
la35,10,1888,1888,842600
la36,10,1311,1335.9648,387500
