inst.id,n.runs,best.f.min,best.f.mean,total.time.mean,budget.time
ft06,10,55,55,30,3600000
ft10,10,930,930,4370,3600000
ft20,10,1165,1165,390,3600000
la01,10,666,666,180,3600000
la02,10,655,655,150,3600000
la03,10,597,597,150,3600000
la04,10,590,590,140,3600000
la05,10,593,593,190,3600000
la06,10,926,926,290,3600000
la07,10,890,890,190,3600000
la08,10,863,863,280,3600000
la09,10,951,951,290,3600000
la10,10,958,958,310,3600000
la11,10,1222,1222,380,3600000
la12,10,1039,1039,400,3600000
la13,10,1150,1150,400,3600000
la14,10,1292,1292,410,3600000
la15,10,1207,1207,370,3600000
la16,10,945,945,310,3600000
la17,10,784,784,200,3600000
la18,10,848,848,220,3600000
la19,10,842,842,400,3600000
la20,10,902,902,550,3600000
la21,10,1046,1046,14500,3600000
la22,10,927,927,8410,3600000
la23,10,1032,1032,390,3600000
la24,10,935,935,34760,3600000
la25,10,977,977,6120,3600000
la26,10,1218,1218,530,3600000
la27,10,1235,1235,7120,3600000
la28,10,1216,1216,450,3600000
la29,10,1153,1153,91970,3600000
la30,10,1355,1355,660,3600000
la31,10,1784,1784,890,3600000
la32,10,1850,1850,930,3600000
la33,10,1719,1719,910,3600000
la34,10,1721,1721,870,3600000
la35,10,1888,1888,830,3600000
la36,10,1268,1268,15300,3600000
la37,10,1397,1397,125030,3600000
la38,10,1196,1196,128350,3600000
la39,10,1233,1233,66820,3600000
la40,10,1222,1222.6,751900,3600000
abz7,10,657,657.6,662300,3600000
abz8,10,667,667.9,663400,3600000
abz9,10,678,678,303020,3600000
yn1,10,884,886.1,299500,3600000
yn2,10,904,906.5,1138000,3600000
yn3,10,892,894.3,830200,3600000
yn4,10,968,969.25,555800,3600000
swv01,10,1407,1411.2,908940,3600000
swv02,10,1475,1475,292660,3600000
swv03,10,1398,1398.4,443840,3600000
swv04,10,1470,1471.6,1600380,3600000
swv05,10,1425,1427.1,1466230,3600000
swv06,10,1672,1678.9,887850,3600000
swv07,10,1595,1598.9,1490110,3600000
swv08,10,1752,1764.6,871550,3600000
swv09,10,1657,1660.9,1182240,3600000
swv10,10,1743,1754.7,1620650,3600000
