inst.id,best.f.max,best.f.mean,best.f.min,total.time.mean,n.runs
ft06,55,55,55,30,20
ft10,936,932.4,930,30460,20
ft20,1178,1167.6,1165,37040,20
la01,666,666,666,90,20
la02,655,655,655,2650,20
la03,597,597,597,4470,20
la04,590,590,590,4230,20
la05,593,593,593,0,20
la06,926,926,926,20,20
la07,890,890,890,200,20
la08,863,863,863,220,20
la09,951,951,951,50,20
la10,958,958,958,30,20
la11,1222,1222,1222,620,20
la12,1039,1039,1039,80,20
la13,1150,1150,1150,100,20
la14,1292,1292,1292,0,20
la15,1207,1207,1207,490,20
la16,945,945,945,27570,20
la17,784,784,784,26600,20
la18,848,848,848,26600,20
la19,842,842,842,22280,20
la20,907,903,902,25870,20
la21,1048,1046.8,1046,51210,20
la22,930,927.6,927,52210,20
la23,1032,1032,1032,2630,20
la24,937,936.6,935,47600,20
la25,984,978.4,977,51590,20
la26,1218,1218,1218,24970,20
la27,1240,1237,1235,83910,20
la28,1221,1217.4,1216,82420,20
la29,1170,1167.2,1164,86110,20
la30,1355,1355,1355,8540,20
orb01,1064,1060,1059,30940,20
orb02,889,888.6,888,24460,20
orb03,1005,1005,1005,31220,20
orb04,1007,1005.4,1005,31580,20
orb05,888,887.6,887,28930,20
orb06,1012,1010.8,1010,31460,20
orb07,397,397,397,26010,20
orb08,902,899.6,899,30600,20
orb09,944,941.4,934,31930,20
orb10,946,944.8,944,22830,20
abz5,1242,1237.4,1234,6180,20
abz6,957,947.4,943,5580,20
abz7,681,679.9,676,34430,20
abz8,683,680.4,678,33410,20
abz9,702,695,693,32550,20
ta11,1377,1370.4,1361,178900,30
ta12,1382,1376.9,1372,155100,30
ta13,1376,1360.1,1342,176200,30
ta14,1351,1348.7,1345,192200,30
ta15,1353,1350.1,1340,219900,30
ta16,1375,1368.3,1360,208200,30
ta17,1479,1473.7,1464,222700,30
ta18,1416,1410.8,1400,178300,30
ta19,1351,1343.2,1339,214500,30
ta20,1360,1358,1353,228500,30
ta21,1654,1652.7,1646,283500,30
ta22,1610,1607.1,1606,363300,30
ta23,1567,1565.4,1564,451000,30
ta24,1667,1656.8,1648,340600,30
ta25,1617,1608.8,1599,419600,30
ta26,1673,1659.5,1647,481600,30
ta27,1701,1691.2,1684,401300,30
ta28,1625,1621.9,1613,296800,30
ta29,1642,1631.5,1629,355200,30
ta30,1616,1601.4,1588,445300,30
ta31,1784,1775,1767,357500,30
ta32,1837,1823.6,1801,520100,30
ta33,1824,1815.1,1803,442200,30
ta34,1854,1843.8,1829,340600,30
ta35,2026,2019,2011,436300,30
ta36,1836,1829.9,1825,534900,30
ta37,1795,1789.4,1779,568200,30
ta38,1691,1684.7,1676,602900,30
ta39,1826,1811.9,1798,372900,30
ta40,1702,1688.1,1678,570000,30
ta41,2049,2035.7,2022,975900,30
ta42,1983,1971.2,1962,956600,30
ta43,1923,1897.9,1867,523500,30
ta44,2024,2008.9,1986,713900,30
ta45,2037,2015.1,2008,983700,30
ta46,2063,2045.4,2020,669400,30
ta47,1942,1928.6,1905,531100,30
ta48,1987,1971.3,1958,1048300,30
ta49,2001,1985.4,1976,771100,30
ta50,1968,1955.1,1935,1019600,30
