inst.id,n.runs,best.f.min,best.f.mean,best.f.max,best.f.sd,reach.best.f.min.runs,reach.best.f.min.time.mean
ft10,20,930,930,930,0,20,12600
ft20,20,1165,1166.05,1178,3.2,18,37500
la21,20,1046,1052.4,1059,3.6,1,109000
la24,20,935,941.6,946,3.5,1,186000
la25,20,977,981.95,984,2.5,2,156000
la27,20,1236,1252.35,1264,8.3,NA,NA
la29,20,1162,1177,1191,8.4,NA,NA
la36,20,1268,1279.6,1291,5.5,1,394000
la37,20,1397,1399.1,1411,4.1,12,228000
la38,20,1196,1203.5,1215,4.8,3,222700
la39,20,1233,1240.15,1249,2.6,1,252000
la40,20,1224,1233.25,1242,5.6,NA,NA
abz7,20,666,671.4,678,3.1,NA,NA
abz8,20,672,680.8,690,4.9,NA,NA
abz9,20,682,688.9,695,3.9,NA,NA
orb01,20,1059,1062.2,NA,NA,NA,19800
orb02,20,889,889.2,NA,NA,NA,NA
orb03,20,1005,1005,NA,NA,NA,22200
orb04,20,1005,1008.6,NA,NA,NA,15500
orb05,20,887,888.7,NA,NA,NA,20300
orb06,20,1010,1014.1,NA,NA,NA,22500
orb07,20,397,399.4,NA,NA,NA,8600
orb08,20,899,899.5,NA,NA,NA,15800
orb09,20,934,934,NA,NA,NA,6900
orb10,20,944,944,NA,NA,NA,15300
yn1,20,889,906.4,NA,NA,NA,NA
yn2,20,917,923.9,NA,NA,NA,NA
yn3,20,898,905.8,NA,NA,NA,NA
yn4,20,974,984.7,NA,NA,NA,NA
