inst.id,n.runs,best.f.min,best.f.mean,best.f.med,best.f.mode,best.f.max,best.f.sd,reach.best.f.min.time.min
ft10,30,930,930,930,930,930,0,5310
la16,30,945,945,945,945,945,0,60
la17,30,784,784,784,784,784,0,160
la18,30,848,848,848,848,848,0,210
la19,30,842,842,842,842,842,0,100
la20,30,902,902,902,902,902,0,70
orb01,30,1059,1059,1059,1059,1059,0,230
orb02,30,888,888,888,888,888,0,280
orb03,30,1005,1005,1005,1005,1005,0,1840
orb04,30,1005,1005,1005,1005,1005,0,100
orb05,30,887,887,887,887,887,0,1760
orb06,30,1010,1010,1010,1010,1010,0,15670
orb07,30,397,397,397,397,397,0,80
orb08,30,899,899,899,899,899,0,380
orb09,30,934,934,934,934,934,0,10210
orb10,30,944,944,944,944,944,0,7470
abz5,30,1234,1234,1234,1234,1234,0,11040
abz6,30,943,943,943,943,943,0,9370
la36,30,1268,1268,1268,1268,1268,0,313000
la37,30,1397,1397,1397,1397,1397,0,1084000
la38,30,1196,1196,1196,1196,1196,0,115900
la39,30,1233,1233,1233,1233,1233,0,295000
la40,30,1222,1224,1224,1224,1224,0.84,2877000
ta01,30,1231,1231,1231,1231,1231,0,234000
ta02,30,1244,1244,1244,1244,1244,0,113000
ta03,30,1218,1219,1218,1218,1221,1.27,2353000
ta04,30,1175,1175,1175,1175,1175,0,61600
ta05,30,1224,1225,1224,1224,1227,1.55,4065000
ta06,30,1238,1239,1240,1240,1240,0.84,4216000
ta07,30,1228,1228,1228,1228,1228,0,59000
ta08,30,1217,1217,1217,1217,1217,0,62000
ta09,30,1274,1276,1274,1274,1280,3.1,447000
ta10,30,1241,1241,1241,1241,1241,0,66000
dmu06,30,3268,3283,3285,3285,3381,5.25,29868000
dmu07,30,3064,3083,3084,3084,3223,12.62,83791000
dmu08,30,3188,3208,3209,3199,3385,9.06,1836000
dmu09,30,3109,3139,3140,3140,3231,8.36,2379000
dmu10,30,2987,3004,3004,3004,3084,9.63,2813000
dmu46,30,4099,4115,4116,4103,4189,11.36,9973000
yn1,30,886,890,890,890,905,0.42,13794000
yn2,30,907,907,907,907,930,0.004,6502000
yn3,30,892,895,895,895,915,1.43,4548000
yn4,30,969,970,970,970,990,0.67,46328000
