inst.id,n.runs,best.f.min,best.f.mean,total.time.mean
ft06,10,55,55,80
ft10,10,953,986.32,27720
ft20,10,1193,1234.52,30280
orb01,10,1086,1123.32,32880
orb02,10,900,926.32,32720
orb03,10,1034,1078,32960
orb04,10,1032,1057.88,30520
orb05,10,891,916.8,30560
orb06,10,1031,1051.84,30440
orb07,10,416,444.6,33850
orb08,10,932,955.88,31280
orb09,10,948,971.8,30920
orb10,10,959,989.48,30520
abz5,10,1238,1251.6,24160
abz6,10,947,956.08,24160
abz7,10,706,720.96,54720
abz8,10,727,741.44,54640
abz9,10,753,772.36,55760
la01,10,666,667.12,120
la02,10,655,668.6,7240
la03,10,597,608.48,16800
la04,10,590,600.48,7320
la05,10,593,593,120
la06,10,926,926,160
la07,10,890,897.12,200
la08,10,863,863,30040
la09,10,951,951,120
la10,10,958,958,120
la11,10,1222,1222,80
la12,10,1039,1039,200
la13,10,1150,1150,120
la14,10,1292,1292,200
la15,10,1207,1224.8,4080
la16,10,946,974.24,29040
la17,10,784,792.16,19000
la18,10,848,862.6,22200
la19,10,842,862.8,24640
la20,10,910,916.24,29120
la21,10,1097,1123.28,38280
la22,10,964,988.2,38720
la23,10,1032,1044.84,9880
la24,10,977,999.36,38520
la25,10,1016,1043.16,38960
la26,10,1246,1280.12,45480
la27,10,1307,1334.96,42120
la28,10,1278,1308.56,42280
la29,10,1263,1292.56,42600
la30,10,1355,1403.88,39600
la31,10,1784,1824.12,18200
la32,10,1888,1908.56,7960
la33,10,1719,1766.08,12680
la34,10,1728,1750.8,62280
la35,10,1888,1899.28,59760
la36,10,1315,1347.72,44000
la37,10,1456,1501.36,44040
la38,10,1254,1298.16,44320
la39,10,1268,1318.4,43520
la40,10,1257,1291.72,44120
ta01,10,1310,1329.2,38680
ta11,10,1488,1535.64,48720
ta21,10,1801,1841.4,62200
yn1,10,941,968.84,57560
yn2,10,957,998,56520
yn3,10,965,983.56,57400
yn4,10,1057,1076.48,58320
swv11,10,3587,3715.8,70360
