inst.id,n.runs,best.f.min,best.f.mean,total.time.mean
ft06,10,55,55,1130
ft10,10,930,935.84,63320
ft20,10,1165,1168.8,29920
orb01,10,1059,1067.32,67880
orb02,10,888,890.52,301600
orb03,10,1005,1015.52,141360
orb04,10,1005,1012.76,530840
orb05,10,887,891.48,600230
orb06,10,1010,1016.16,312210
orb07,10,397,399.56,13120
orb08,10,899,909.08,27680
orb09,10,934,939.68,31320
orb10,10,944,946.2,17040
abz5,10,1234,1236.64,97430
abz6,10,943,943.24,9510
abz7,10,663,667.44,1785320
abz8,10,678,679.38,2067940
abz9,10,691,691.54,1897050
la01,10,666,666,2920
la02,10,655,655,4110
la03,10,597,597.48,4670
la04,10,590,600.48,5560
la05,10,593,593,4810
la06,10,926,926,8120
la07,10,890,890,5600
la08,10,863,863,5320
la09,10,951,951,4560
la10,10,958,958,6800
la11,10,1222,1222,15730
la12,10,1039,1039,13720
la13,10,1150,1150,15040
la14,10,1292,1292,14200
la15,10,1207,1207,16680
la16,10,945,948.48,28120
la17,10,784,784,17800
la18,10,848,849.32,30640
la19,10,842,843.36,46560
la20,10,902,903.64,43680
la21,10,1046,1052.44,696680
la22,10,927,932.72,697960
la23,10,1032,1032,15320
la24,10,935,940.36,93360
la25,10,977,982.58,217680
la26,10,1218,1218.04,44120
la27,10,1235,1246.56,450000
la28,10,1216,1220.12,97040
la29,10,1162,1163.8,1349510
la30,10,1355,1355,46860
la31,10,1784,1784,1108520
la32,10,1850,1850,126400
la33,10,1719,1719,176840
la34,10,1721,1721,171350
la35,10,1888,1888,169800
la36,10,1268,1279.44,1027150
la37,10,1397,1412.68,2164760
la38,10,1196,1206.2,745520
la39,10,1233,1241.76,2257690
la40,10,1224,1226.72,1021190
ta01,10,1231,1246,1830160
ta11,10,1370,1380.82,2919050
ta21,10,1662,1672.57,4034500
yn1,10,899,902.85,2840230
yn2,10,915,925.7,3976230
yn3,10,904,907.6,3681950
yn4,10,977,983,5391480
swv11,10,3146,3214.87,20790450
