inst.id,n.runs,best.f.min,best.f.mean,total.time.mean
ft06,10,55,55,1160
ft10,10,930,936.68,42200
ft20,10,1165,1168.12,28400
orb01,10,1059,1068.4,58480
orb02,10,888,890,206240
orb03,10,1005,1016.12,197330
orb04,10,1005,1011.32,467800
orb05,10,887,889.96,741880
orb06,10,1010,1015.72,316680
orb07,10,397,399.48,16000
orb08,10,899,910.04,86210
orb09,10,934,938.08,21540
orb10,10,944,948.76,34110
abz5,10,1234,1237.8,104560
abz6,10,943,943.4,8400
abz7,10,666,668.89,2314670
abz8,10,678,679.33,1831670
abz9,10,690,691.75,1705190
la01,10,666,666,2840
la02,10,655,655.04,3830
la03,10,597,597.24,4080
la04,10,590,590,3120
la05,10,593,593,4690
la06,10,926,926,7240
la07,10,890,890,7600
la08,10,863,863,6600
la09,10,951,951,6560
la10,10,958,958,6620
la11,10,1222,1222,14720
la12,10,1039,1039,12840
la13,10,1150,1150,13400
la14,10,1292,1292,12200
la15,10,1207,1207,16970
la16,10,945,949.52,22950
la17,10,784,784.04,17470
la18,10,848,849.92,28400
la19,10,842,844.24,39640
la20,10,902,903.16,38280
la21,10,1046,1052.56,512540
la22,10,927,932.12,671280
la23,10,1032,1032,16400
la24,10,935,940.56,97560
la25,10,977,981.48,252120
la26,10,1218,1218,37600
la27,10,1235,1245.96,578200
la28,10,1216,1218.84,66480
la29,10,1162,1165.5,1527860
la30,10,1355,1355,46920
la31,10,1784,1784,1121280
la32,10,1850,1850,123800
la33,10,1719,1719,121320
la34,10,1721,1721,140000
la35,10,1888,1888,132200
la36,10,1268,1279.4,1040440
la37,10,1397,1405.68,1983080
la38,10,1196,1207.52,832490
la39,10,1233,1242.36,1931680
la40,10,1224,1226.52,1011660
ta01,10,1231,1245.28,1647480
ta11,10,1369,1377.91,2819190
ta21,10,1661,1669.43,3510730
yn1,10,897,904.23,2683410
yn2,10,915,924.6,2819360
yn3,10,905,908,3751010
yn4,10,974,985.38,4703940
swv11,10,3133,3196.25,19167290
