inst.id,n.runs,best.f.min,best.f.mean,total.time.mean
ft06,10,55,55,1120
ft10,10,930,936.25,20340
ft20,10,1165,1169.16,15960
orb01,10,1059,1068.52,43480
orb02,10,888,889.36,161000
orb03,10,1005,1016.92,135680
orb04,10,1005,1011.16,398780
orb05,10,887,891.04,512520
orb06,10,1010,1016.48,203920
orb07,10,397,399.72,12120
orb08,10,899,909.2,38880
orb09,10,934,934,18280
orb10,10,944,946.8,15360
abz5,10,1234,1236.12,72320
abz6,10,943,943.08,8000
abz7,10,662,666.7,1641670
abz8,10,676,678,1581670
abz9,10,688,690.1,1438190
la01,10,666,666,2600
la02,10,655,655,3160
la03,10,597,597.24,3440
la04,10,590,590.12,3040
la05,10,593,593,3080
la06,10,926,926,6200
la07,10,890,890,6600
la08,10,863,863,5000
la09,10,951,951,5400
la10,10,958,958,6110
la11,10,1222,1222,14440
la12,10,1039,1039,11080
la13,10,1150,1150,13160
la14,10,1292,1292,13200
la15,10,1207,1207,15040
la16,10,945,947.56,20080
la17,10,784,784.12,18360
la18,10,848,849.8,23400
la19,10,842,844.16,28640
la20,10,902,903.08,27560
la21,10,1046,1050.52,480000
la22,10,927,931.92,364130
la23,10,1032,1032,16000
la24,10,935,939.92,66450
la25,10,977,983.72,177310
la26,10,1218,1218,35400
la27,10,1235,1247.8,380540
la28,10,1216,1216,66000
la29,10,1153,1163.04,1268400
la30,10,1355,1355,42760
la31,10,1784,1784,1026000
la32,10,1850,1850,112400
la33,10,1719,1719,106320
la34,10,1721,1721,122720
la35,10,1888,1888,99200
la36,10,1268,1276.68,876160
la37,10,1397,1407.92,1867650
la38,10,1196,1205.28,651900
la39,10,1233,1240.76,880320
la40,10,1224,1226.4,946100
ta01,10,1231,1231,934440
ta11,10,1366,1375.24,2473000
ta21,10,1650,1668.16,3437000
yn1,10,893,904.08,2501700
yn2,10,913,923.72,2731700
yn3,10,900,906.96,3368000
yn4,10,977,984.56,4205000
swv11,10,3095,3163,17968000
swv01,10,1420,1427.4,NA
swv02,10,1480,1486.9,NA
swv03,10,1420,1427.5,NA
swv04,10,1480,1489.5,NA
swv05,10,1426,1439.6,NA
swv06,10,1696,1710.8,NA
swv07,10,1619,1633.7,NA
swv08,10,1787,1800.8,NA
swv09,10,1661,1689.9,NA
swv10,10,1761,1794.5,NA
