inst.id,n.runs,best.f.min,total.time.mean
orb01,10,1059,5190
orb02,10,888,5250
orb03,10,1005,6680
orb04,10,1005,4790
orb05,10,887,5000
orb06,10,1010,4880
orb07,10,397,4720
orb08,10,899,6000
orb09,10,934,4050
orb10,10,944,5140
ft06,10,55,100
ft10,10,930,1090
ft20,10,1165,2350
la01,10,666,130
la02,10,655,240
la03,10,597,500
la04,10,590,240
la05,10,593,100
la06,10,926,100
la07,10,890,240
la08,10,863,170
la09,10,951,170
la10,10,958,100
la11,10,1222,180
la12,10,1039,220
la13,10,1150,240
la14,10,1292,130
la15,10,1207,500
la16,10,945,1620
la17,10,784,1150
la18,10,848,1000
la19,10,842,970
la20,10,902,2790
la21,10,1046,3830
la22,10,927,3940
la23,10,1032,1050
la24,10,935,4940
la25,10,977,4660
la26,10,1218,5230
la27,10,1235,9530
la28,10,1216,3580
la29,10,1168,9360
la30,10,1355,2690
la31,10,1784,2480
la32,10,1850,2680
la33,10,1719,2960
la34,10,1721,5050
la35,10,1888,4220
la36,10,1268,7720
la37,10,1397,9370
la38,10,1196,9140
la39,10,1233,9070
la40,10,1224,10750
