inst.id,n.runs,best.f.mean,best.f.min
la01,10,666,NA
la02,10,655,NA
la03,10,597,NA
la04,10,590,NA
la05,10,593,NA
la06,10,926,NA
la07,10,890,NA
la08,10,863,NA
la09,10,951,NA
la10,10,958,NA
la11,10,1222,NA
la12,10,1039,NA
la13,10,1150,NA
la14,10,1292,NA
la15,10,1207,NA
la16,10,989,959
la17,10,793,792
la18,10,866,857
la19,10,867,860
la20,10,923,907
ft06,10,55,55
ft10,10,988,976
ft20,10,1230,1209
orb01,10,1133,1088
orb02,10,931,921
orb03,10,1084,1041
orb04,10,1062,1052
orb05,10,948,903
orb06,10,1107,1062
orb07,10,417,408
orb08,10,926,908
orb09,10,990,980
la21,10,1132,1114
la22,10,1007,989
la23,10,1045,1035
la24,10,1035,1032
la25,10,1083,1047
la26,10,1327,1307
la27,10,1382,1350
la28,10,1344,1312
la29,10,1341,1311
la30,10,1478,1451
la31,10,1810,1784
la32,10,1875,1850
la33,10,1776,1745
la34,10,1821,1784
la35,10,1973,1958
la36,10,1382,1358
la37,10,1551,1517
la38,10,1380,1362
la39,10,1407,1391
la40,10,1364,1323
