inst.id,n.runs,budget.fes,best.f.min
la20,10,200000,902
la21,10,200000,1048
la22,10,200000,932
la24,10,200000,943
la25,10,200000,983
la26,10,200000,1218
la27,10,200000,1264
la28,10,200000,1219
la29,10,200000,1182
la36,10,200000,1274
la37,10,200000,1415
la38,10,200000,1202
la39,10,200000,1240
la40,10,200000,1228
la01,10,200000,666
la02,10,200000,655
la03,10,200000,597
la04,10,200000,590
la05,10,200000,593
la06,10,200000,926
la07,10,200000,890
la08,10,200000,863
la09,10,200000,951
la10,10,200000,958
la11,10,200000,1222
la12,10,200000,1039
la13,10,200000,1150
la14,10,200000,1292
la15,10,200000,1207
la16,10,200000,945
la17,10,200000,784
la18,10,200000,848
la19,10,200000,842
la23,10,200000,1032
la30,10,200000,1355
la31,10,200000,1784
la32,10,200000,1850
la33,10,200000,1719
la34,10,200000,1721
la35,10,200000,1888
