inst.id,n.runs,budget.time,best.f.min,best.f.mean,best.f.max,best.f.sd,reach.best.f.min.runs,reach.best.f.min.time.mean
abz7,30,2400000,678,692.5,703,0.969535971,NA,NA
abz8,30,2400000,686,703.1,724,1.240967365,NA,NA
abz9,30,2400000,697,719.6,732,1.236931688,NA,NA
la21,30,2400000,1046,1049.9,1055,0.754983444,NA,NA
la24,30,2400000,935,938.8,941,0.583095189,9,687700
la25,30,2400000,977,979.6,984,0.632455532,4,864100
la27,30,2400000,1235,1253.6,1269,1.2489996,9,765600
la29,30,2400000,1166,1181.9,1195,1.144552314,1,2364750
la38,30,2400000,1196,1198.4,1208,0.842614977,NA,NA
la40,30,2400000,1224,1227.9,1233,0.655743852,21,1051300
ft10,NA,NA,930,NA,NA,NA,NA,299000
ft20,NA,NA,1165,NA,NA,NA,NA,299000
