inst.id,n.runs,best.f.mean
ft06,10,55
ft10,10,930
ft20,10,1165
la01,10,666
la02,10,655
la03,10,597
la04,10,590
la05,10,593
la06,10,926
la07,10,890
la08,10,863
la09,10,951
la10,10,958
la11,10,1222
la12,10,1039
la13,10,1150
la14,10,1292
la15,10,1207
la16,10,945
la17,10,784
la18,10,848
la19,10,842
la20,10,902
la21,10,1046
la22,10,927
la23,10,1032
la24,10,935
la25,10,977
la26,10,1218
la27,10,1235
la28,10,1216
la29,10,1163
la30,10,1355
la31,10,1784
la32,10,1850
la33,10,1719
la34,10,1721
la35,10,1888
la36,10,1268
la37,10,1397
la38,10,1196
la39,10,1233
la40,10,1224
ta01,10,1231
ta02,10,1244
ta03,10,1218
ta04,10,1175
ta05,10,1224
ta06,10,1238
ta07,10,1228
ta08,10,1217
ta09,10,1274
ta10,10,1248
ta11,10,1364
ta12,10,1370
ta13,10,1350
ta14,10,1345
ta15,10,1352
ta16,10,1364
ta17,10,1470
ta18,10,1404
ta19,10,1335
ta20,10,1358
ta21,10,1655
ta22,10,1618
ta23,10,1557
ta24,10,1652
ta25,10,1605
ta26,10,1662
ta27,10,1688
ta28,10,1615
ta29,10,1634
ta30,10,1586
ta31,10,1764
ta32,10,1820
ta33,10,1795
ta34,10,1844
ta35,10,2007
ta36,10,1825
ta37,10,1788
ta38,10,1681
ta39,10,1795
ta40,10,1694
ta41,10,2045
ta42,10,1966
ta43,10,1895
ta44,10,2019
ta45,10,2016
ta46,10,2040
ta47,10,1930
ta48,10,1993
ta49,10,1990
ta50,10,1975
ta51,10,2760
ta52,10,2756
ta53,10,2717
ta54,10,2839
ta55,10,2679
ta56,10,2781
ta57,10,2943
ta58,10,2885
ta59,10,2655
ta60,10,2723
ta61,10,2868
ta62,10,2942
ta63,10,2755
ta64,10,2702
ta65,10,2725
ta66,10,2845
ta67,10,2840
ta68,10,2784
ta69,10,3071
ta70,10,2995
ta71,10,5464
ta72,10,5181
ta73,10,5568
ta74,10,5339
ta75,10,5392
ta76,10,5342
ta77,10,5436
ta78,10,5394
ta79,10,5358
ta80,10,5183
