inst.id,n.runs,best.f.min,best.f.mean
ft06,30,55,55
ft10,30,937,948.63
ft20,30,1178,1181.25
la01,30,666,666
la10,30,958,958
la11,30,1222,1222
la23,30,1032,1032
la34,30,1721,1721
la35,30,1888,1888
la36,30,1306,1329.7
la37,30,1458,1485.33
swv11,30,3809,3868.1
swv13,30,3926,4013.3
swv17,30,2794,2794
swv18,30,2852,2852
ta69,30,3332,3352.33
ta71,30,6087,6230.33
ta76,30,5854,5854
yn2,30,995,1053.8
yn3,30,971,1018
orb01,30,1085,1089.8
orb02,30,895,897.3
orb03,30,1015,1037.28
orb04,30,1012,1014.5
orb05,30,894,895.5
orb06,30,1028,1037.75
orb07,30,407,407
orb08,30,928,937.5
orb09,30,948,953.75
orb10,30,957,957
