inst.id,n.runs,best.f.min,best.f.mean,total.time.mean,total.fes.mean
abz7,5,658,659.6,28487400,NA
abz8,5,670,670.4,28194600,NA
abz9,5,683,685.6,26202000,NA
swv01,2,1427,1428,47828000,312320976
swv02,2,1487,1489.7,43089000,282676997
swv03,2,1422,1427.7,40684000,250332641
swv04,2,1487,1490.3,44257000,276227664
swv05,2,1449,1453.2,40045000,254417756
swv06,2,1697,1703,112647000,377949381
swv07,2,1627,1630,97504000,337848245
swv08,2,1773,1776.5,56781000,244833220
swv09,2,1665,1682.5,24474000,109808770
swv10,2,1791,1794.5,44467000,148570911
swv11,2,3075,3081.5,117454000,247525101
swv12,2,3108,3115,124549000,258701571
swv13,2,3177,3178.5,92756000,222799699
swv14,2,3010,3013.5,104088000,247336666
swv15,2,3004,3004,161365000,375564078
