inst.id,n.runs,best.f.min,total.time.min
ft10,1,930,32300
la02,1,666,32500
la19,1,852,29800
la21,1,1048,63000
la24,1,941,64300
la25,1,993,65500
la27,1,1243,75000
la29,1,1182,110000
la36,1,1268,139000
la37,1,1397,93300
la38,1,1208,140000
la39,1,1249,121000
la40,1,1242,141000
orb01,1,1059,43200
orb02,1,892,33000
orb03,1,1005,40600
orb04,1,1024,30500
orb05,1,889,38100
orb06,1,1019,30500
orb07,1,401,30500
orb08,1,919,25400
orb09,1,953,27900
orb10,1,944,35600
la06,1,926,NA
la07,1,890,NA
la08,1,863,NA
la09,1,951,NA
la10,1,958,NA
la11,1,1222,NA
la12,1,1039,NA
la13,1,1150,NA
la14,1,1292,NA
la15,1,1207,NA
la30,1,1355,NA
la31,1,1784,NA
la32,1,1850,NA
la33,1,1719,NA
la34,1,1721,NA
la35,1,1888,NA
