inst.id,best.f.min,best.f.mean,n.runs,total.time.mean,budget.time,reach.best.f.min.time.min
ft06,55,55,10,0,1000,0
ft10,930,930,10,700,30000,60
ft20,1165,1165,10,92100,480000,1610
la19,842,842,10,1200,30000,25
la21,1046,1049.7,10,26500,112500,10775
la24,935,935.3,10,51200,112500,200
la25,977,979,10,17100,240000,330
la27,1235,1236,10,45300,240000,950
la29,1153,1166.6,10,22500,240000,6370
la36,1268,1268,10,5100,75000,570
la37,1397,1399.5,10,14800,75000,510
la38,1196,1197.7,10,5700,75000,1250
la39,1233,1233.7,10,6200,75000,500
la40,1224,1225.5,10,11100,75000,860
abz5,1234,1234.6,10,11500,30000,40
abz6,943,943,10,100,30000,30
abz7,659,664.9,10,50700,160000,1130
abz8,667,674.6,10,38200,160000,1480
abz9,678,686.7,10,33900,160000,3250
orb01,1059,1060.8,10,5600,30000,60
orb02,888,888,10,700,30000,60
orb03,1005,1010.7,10,1400,30000,150
orb04,1005,1010.6,10,4800,30000,450
orb05,887,887,10,10000,30000,760
orb06,1010,1012.2,10,8600,30000,720
orb07,397,397,10,100,30000,20
orb08,899,899.7,10,5800,30000,90
orb09,934,936.7,10,2600,30000,90
orb10,944,944,10,100,30000,30
yn1,886,893.9,10,27600,120000,92780
yn2,911,918.7,10,27700,120000,13070
yn3,897,902.8,10,43500,120000,37220
yn4,975,986.9,10,45100,120000,114080
swv01,1421,1463.4,10,64600,240000,68250
swv02,1475,1505.2,10,58600,240000,136940
swv03,1423,1437.1,10,57900,240000,61800
swv04,1508,1543.4,10,98600,240000,223360
swv05,1445,1486,10,63700,240000,149940
swv06,1722,1753.7,10,62100,160000,104360
swv07,1634,1668.4,10,53200,160000,111040
swv08,1804,1829,10,66700,160000,25802
swv09,1691,1722.3,10,58800,160000,130510
swv10,1780,1818.3,10,32000,160000,18050
la01,666,666,10,0,60000,0
la02,655,655,10,20,60000,15
la03,597,597,10,89,60000,16
la04,590,590,10,23,60000,15
la05,593,593,10,0,60000,0
la06,926,926,10,0,225000,0
la07,890,890,10,17,225000,0
la08,863,863,10,0,225000,0
la09,951,951,10,0,225000,0
la10,958,958,10,0,225000,0
la11,1222,1222,10,0,480000,0
la12,1039,1039,10,2,480000,0
la13,1150,1150,10,0,480000,0
la14,1292,1292,10,0,480000,0
la15,1207,1207,10,41,480000,16
la16,945,945,10,2134,30000,94
la17,784,784,10,50,30000,16
la18,848,848,10,39,30000,15
la20,902,902,10,103,30000,31
la22,927,927,10,5755,112500,109
la23,1032,1032,10,49,112500,47
la26,1218,1218,10,100,240000,78
la28,1216,1216,10,290,240000,109
la30,1355,1355,10,106,240000,93
la31,1784,1784,10,52,630000,0
la32,1850,1850,10,97,630000,47
la33,1719,1719,10,123,630000,31
la34,1721,1721,10,162,630000,156
la35,1888,1888,10,869,630000,46
