inst.id,n.runs,budget.time,best.f.min,best.f.mean,reach.best.f.min.time.mean
ft06,10,3600000,55,55,30
ft10,10,3600000,930,930,4750
ft20,10,3600000,1165,1165,180
orb01,10,3600000,1059,1059,510
orb02,10,3600000,888,888,1690
orb03,10,3600000,1005,1005,1460
orb04,10,3600000,1005,1005,3710
orb05,10,3600000,887,887,7280
orb06,10,3600000,1010,1010,1810
orb07,10,3600000,397,397,130
orb08,10,3600000,899,899,3990
orb09,10,3600000,934,934,470
orb10,10,3600000,944,944,90
la01,10,3600000,666,666,50
la02,10,3600000,655,655,50
la03,10,3600000,597,597,60
la04,10,3600000,590,590,50
la05,10,3600000,593,593,60
la06,10,3600000,926,926,90
la07,10,3600000,890,890,60
la08,10,3600000,863,863,80
la09,10,3600000,951,951,90
la10,10,3600000,958,958,90
la11,10,3600000,1222,1222,110
la12,10,3600000,1039,1039,120
la13,10,3600000,1150,1150,120
la14,10,3600000,1292,1292,120
la15,10,3600000,1207,1207,110
la16,10,3600000,945,945,150
la17,10,3600000,784,784,80
la18,10,3600000,848,848,90
la19,10,3600000,842,842,160
la20,10,3600000,902,902,110
la21,10,3600000,1046,1046,7330
la22,10,3600000,927,927,3940
la23,10,3600000,1032,1032,130
la24,10,3600000,935,935,3090
la25,10,3600000,977,977,1380
la26,10,3600000,1218,1218,280
la27,10,3600000,1235,1235,2190
la28,10,3600000,1216,1216,350
la29,10,3600000,1153,1153,73780
la30,10,3600000,1355,1355,310
la31,10,3600000,1784,1784,270
la32,10,3600000,1850,1850,290
la33,10,3600000,1719,1719,270
la34,10,3600000,1721,1721,280
la35,10,3600000,1888,1888,270
la36,10,3600000,1268,1268,4530
la37,10,3600000,1397,1397,26240
la38,10,3600000,1196,1196,32610
la39,10,3600000,1233,1233,11630
la40,10,3600000,1222,1222,384800
abz7,10,3600000,657,657.1,438010
abz9,10,3600000,678,678,90220
yn1,10,3600000,884,885.5,169290
yn2,10,3600000,904,907.7,202220
yn3,10,3600000,892,893.8,344150
yn4,10,3600000,968,969.1,320510
swv01,10,7200000,1407,1411.4,575760
swv03,10,7200000,1398,1398.9,613000
swv04,10,7200000,1470,1473.5,257630
swv05,10,7200000,1425,1426,612780
swv06,10,7200000,1671,1675.9,385730
swv07,10,7200000,1595,1605,626460
swv08,10,7200000,1752,1760.4,503000
swv09,10,7200000,1655,1661.8,521910
swv10,10,7200000,1743,1756.6,441400
swv11,10,7200000,2983,2984.5,940680
swv12,10,7200000,2977,2985.3,6097350
swv13,10,7200000,3104,3104,1111220
swv14,10,7200000,2968,2968,422810
swv15,10,7200000,2885,2889.4,6000570
ta01,10,3600000,1231,1231,2930
ta02,10,3600000,1244,1244,38090
ta03,10,3600000,1218,1218,43660
ta04,10,3600000,1175,1175,38720
ta05,10,3600000,1224,1224,11240
ta06,10,3600000,1238,1238.4,178060
ta07,10,3600000,1228,1228,600
ta08,10,3600000,1217,1217,2430
ta09,10,3600000,1274,1274,18660
ta10,10,3600000,1241,1241,42250
ta11,10,3600000,1357,1359.9,186190
ta12,10,3600000,1367,1369.9,206060
ta13,10,3600000,1342,1346,161370
ta14,10,3600000,1345,1345,8280
ta15,10,3600000,1339,1339,173450
ta16,10,3600000,1360,1360,63410
ta17,10,3600000,1463,1473,203490
ta18,10,3600000,1396,1401,91130
ta19,10,3600000,1332,1336.6,145420
ta20,10,3600000,1348,1351.3,216720
ta21,10,3600000,1644,1645.2,502990
ta22,10,3600000,1600,1603.8,228900
ta23,10,3600000,1557,1559.6,359790
ta24,10,3600000,1645,1647.7,779320
ta25,10,3600000,1595,1597,416080
ta26,10,3600000,1647,1651.4,267500
ta27,10,3600000,1680,1686.7,254740
ta28,10,3600000,1613,1616.2,326230
ta29,10,3600000,1625,1627.4,93530
ta30,10,3600000,1584,1588.3,388660
ta31,10,3600000,1764,1764,35570
ta32,10,3600000,1787,1803.5,703060
ta33,10,3600000,1791,1794.6,457550
ta34,10,3600000,1829,1831.2,315710
ta35,10,3600000,2007,2007,560
ta36,10,3600000,1819,1819,122670
ta37,10,3600000,1771,1776.8,652240
ta38,10,3600000,1673,1673,307340
ta39,10,3600000,1795,1795,115610
ta40,10,3600000,1671,1676,449960
ta41,10,3600000,2010,2018.6,1267780
ta42,10,3600000,1949,1950.3,1556360
ta43,10,3600000,1846,1865.1,1726780
ta44,10,3600000,1982,1989.1,1304660
ta45,10,3600000,2000,2000.5,1057790
ta46,10,3600000,2008,2022.3,1236030
ta47,10,3600000,1889,1906.2,1030880
ta48,10,3600000,1947,1955.5,1047420
ta49,10,3600000,1963,1971.5,1035820
ta50,10,3600000,1923,1931.4,1318050
dmu01,10,3600000,2563,2563,332870
dmu02,10,3600000,2706,2713.2,179240
dmu03,10,3600000,2731,2733.1,388590
dmu04,10,3600000,2669,2670.2,96540
dmu05,10,3600000,2749,2758.6,303000
dmu06,10,3600000,3245,3249.2,823170
dmu07,10,3600000,3046,3062.3,360580
dmu08,10,3600000,3188,3194.3,295810
dmu09,10,3600000,3094,3097.4,148000
dmu10,10,3600000,2985,2991,252460
dmu11,10,3600000,3430,3435.2,1496850
dmu12,10,3600000,3495,3509.7,899990
dmu13,10,3600000,3681,3682.8,622130
dmu14,10,3600000,3394,3394,3020
dmu15,10,3600000,3343,3343,1770
dmu16,10,3600000,3753,3765.4,1303410
dmu17,10,3600000,3819,3843.3,734030
dmu18,10,NA,3844,3849.5,3787400
dmu19,10,3600000,3768,3787.4,718710
dmu20,10,3600000,3710,3726.5,701290
dmu21,10,3600000,4380,4380,690
dmu22,10,3600000,4725,4725,1480
dmu23,10,3600000,4668,4668,1300
dmu24,10,3600000,4648,4648,750
dmu25,10,3600000,4164,4164,600
dmu26,10,3600000,4647,4647.3,1631430
