inst.id,best.f.min,best.f.mean,total.time.mean,n.runs
ft10,930,930,3800,10
la19,842,842,500,10
la21,1046,1046,15200,10
la24,935,936.2,19800,10
la25,977,977.1,13800,10
la27,1235,1235,11700,10
la29,1153,1159.2,63900,10
la36,1268,1268,9900,10
la37,1397,1402.5,42100,10
la38,1196,1199.6,47800,10
la39,1233,1233.8,28600,10
la40,1224,1224.5,52100,10
abz7,658,661.8,85900,10
abz8,667,670.3,90700,10
abz9,678,684.8,90200,10
orb01,1059,1059,3500,10
orb02,888,888.1,6400,10
orb03,1005,1012.5,13800,10
orb04,1005,1008.3,14300,10
orb05,887,888.6,6600,10
orb06,1010,1010,8500,10
orb07,397,397,500,10
orb08,899,902.5,7200,10
orb09,934,934,400,10
orb10,944,944,300,10
yn1,884,891.3,106300,10
yn2,907,911.2,110400,10
yn3,892,895.5,110800,10
yn4,969,972.6,108700,10
swv01,1412,1423.7,142100,10
swv02,1475,1480.3,119700,10
swv03,1398,1417.5,139100,10
swv04,1470,1483.7,143900,10
swv05,1425,1443.8,146700,10
swv06,1679,1700.1,192500,10
swv07,1603,1631.3,190200,10
swv08,1756,1786.9,190000,10
swv09,1661,1689.2,193800,10
swv10,1754,1783.7,184600,10
ft20,1165,1165,1000,10
la01,666,666,1000,10
la02,655,655,1000,10
la03,597,597,1000,10
la04,590,590,1000,10
la05,593,593,1000,10
la06,926,926,1000,10
la07,890,890,1000,10
la08,863,863,1000,10
la09,951,951,1000,10
la10,958,958,1000,10
la11,1222,1222,1000,10
la12,1039,1039,1000,10
la13,1150,1150,1000,10
la14,1292,1292,1000,10
la15,1207,1207,1000,10
la30,1355,1355,1000,10
la31,1784,1784,1000,10
la32,1850,1850,1000,10
la33,1719,1719,1000,10
la34,1721,1721,1000,10
la35,1888,1888,1000,10
