inst.id,best.f.min,total.time.mean
orb01,1064,82000
orb02,890,75000
orb03,1013,87000
orb04,1013,75000
orb05,887,81000
ft06,55,NA
ft10,930,80000
ft20,1165,115000
abz5,1234,75000
abz6,943,80000
abz7,666,200000
abz8,678,205000
abz9,693,195000
la01,666,NA
la02,655,NA
la03,597,NA
la04,590,NA
la05,593,NA
la06,926,NA
la07,890,NA
la08,863,NA
la09,951,NA
la10,958,NA
la11,1222,NA
la12,1039,NA
la13,1150,NA
la14,1292,NA
la15,1207,NA
la16,945,NA
la17,784,NA
la18,848,NA
la19,842,NA
la20,902,NA
la21,1046,NA
la22,927,NA
la23,1032,NA
la24,938,NA
la25,979,NA
la26,1218,NA
la27,1235,NA
la28,1216,NA
la29,1168,NA
la30,1355,NA
la31,1784,NA
la32,1850,NA
la33,1719,NA
la34,1721,NA
la35,1888,NA
la36,1268,NA
la37,1411,NA
la38,1201,NA
la39,1240,NA
la40,1233,NA
ta01,1241,NA
ta02,1244,NA
ta03,1222,NA
ta04,1175,NA
ta05,1229,NA
ta06,1245,NA
ta07,1228,NA
ta08,1220,NA
ta09,1291,NA
ta10,1250,NA
ta11,1371,NA
ta12,1379,NA
ta13,1362,NA
ta14,1345,NA
ta15,1360,NA
ta16,1370,NA
ta17,1481,NA
ta18,1426,NA
ta19,1351,NA
ta20,1366,NA
ta21,1659,NA
ta22,1623,NA
ta23,1573,NA
ta24,1659,NA
ta25,1606,NA
ta26,1666,NA
ta27,1697,NA
ta28,1622,NA
ta29,1635,NA
ta30,1614,NA
ta31,1771,NA
ta32,1840,NA
ta33,1833,NA
ta34,1846,NA
ta35,2007,NA
ta36,1825,NA
ta37,1813,NA
ta38,1697,NA
ta39,1815,NA
ta40,1725,NA
ta41,2045,NA
ta42,1979,NA
ta43,1898,NA
ta44,2036,NA
ta45,2021,NA
ta46,2047,NA
ta47,1938,NA
ta48,1996,NA
ta49,2013,NA
ta50,1975,NA
ta51,2760,NA
ta52,2756,NA
ta53,2717,NA
ta54,2839,NA
ta55,2684,NA
ta56,2781,NA
ta57,2943,NA
ta58,2885,NA
ta59,2655,NA
ta60,2723,NA
ta61,2868,NA
ta62,2942,NA
ta63,2755,NA
ta64,2702,NA
ta65,2725,NA
ta66,2845,NA
ta67,2865,NA
ta68,2784,NA
ta69,3071,NA
ta70,2995,NA
ta71,5464,NA
ta72,5181,NA
ta73,5568,NA
ta74,5339,NA
ta75,5392,NA
ta76,5342,NA
ta77,5436,NA
ta78,5394,NA
ta79,5358,NA
ta80,5183,NA
