inst.id,n.runs,best.f.min,best.f.mean,total.time.mean
ft06,10,55,55,300
ft10,10,930,931,1208000
ft20,10,1165,1172,4114000
la01,10,666,666,1000
la02,10,655,655,2000
la03,10,597,597,13000
la04,10,590,590,4000
la05,10,593,593,1000
la06,10,926,926,4000
la07,10,890,890,5000
la08,10,863,863,5000
la09,10,951,951,4000
la10,10,958,958,4000
la11,10,1222,1222,12000
la12,10,1039,1039,13000
la13,10,1150,1150,12000
la14,10,1292,1292,12000
la15,10,1207,1207,17000
la16,10,945,945,1458000
la17,10,784,784,78000
la18,10,848,848,76000
la19,10,842,843,1130000
la20,10,902,903,1304000
la21,10,1052,1058,13505000
la22,10,927,935,12840000
la23,10,1032,1032,116000
la24,10,941,943,12922000
la25,10,982,986,12931000
la26,10,1218,1218,13547000
la27,10,1256,1266,41364000
la28,10,1216,1223,36085000
la29,10,1191,1199,39881000
la30,10,1355,1355,1895000
la31,10,1784,1784,701000
la32,10,1850,1850,849000
la33,10,1719,1719,725000
la34,10,1721,1721,1255000
la35,10,1888,1888,902000
la36,10,1278,1288,48387000
la37,10,1407,1415,49836000
la38,10,1215,1232,50876000
la39,10,1250,1252,50603000
la40,10,1229,1242,50609000
orb01,10,1059,1069,2312000
orb02,10,889,889,2393000
orb03,10,1005,1021,2358000
orb04,10,1005,1006,796000
orb05,10,889,890,2458000
orb06,10,1013,1019,2525000
orb07,10,397,399,2096000
orb08,10,899,909,2338000
orb09,10,934,935,884000
orb10,10,944,944,817000
