inst.id,n.runs,best.f.min,total.time.min
ft06,1,55,999
ft10,1,950,236000
ft20,1,1165,48000
la01,1,666,999
la02,1,655,2000
la03,1,599,33000
la04,1,617,34000
la05,1,593,999
la06,1,926,1000
la07,1,890,1000
la08,1,863,1000
la09,1,951,1000
la10,1,958,1000
la11,1,1222,2000
la12,1,1039,3000
la13,1,1150,2000
la14,1,1292,3000
la15,1,1207,2000
la16,1,945,17000
la17,1,784,18000
la18,1,865,263000
la19,1,850,250000
la20,1,907,261000
la21,1,1055,1105000
la22,1,986,1196000
la23,1,1032,4000
la24,1,960,1110000
la25,1,984,1115000
la26,1,1218,13000
la27,1,1246,3186000
la28,1,1218,3222000
la29,1,1174,3203000
la30,1,1355,14000
la31,1,1784,70000
la32,1,1850,65000
la33,1,1719,67000
la34,1,1721,63000
la35,1,1888,69000
la36,1,1279,3825000
la37,1,1407,3720000
la38,1,1201,3592000
la39,1,1233,2512000
la40,1,1228,3672000
