inst.id,n.runs,best.f.min,total.time.min
ft06,1,55,999
ft10,1,938,238000
ft20,1,1178,388000
la01,1,666,999
la02,1,655,2000
la03,1,599,33000
la04,1,617,34000
la05,1,593,999
la06,1,926,1000
la07,1,890,1000
la08,1,863,1000
la09,1,951,1000
la10,1,958,1000
la11,1,1222,2000
la12,1,1039,2000
la13,1,1150,2000
la14,1,1292,3000
la15,1,1207,2000
la16,1,945,12000
la17,1,784,22000
la18,1,865,263000
la19,1,850,252000
la20,1,907,260000
la21,1,1055,1099000
la22,1,986,1164000
la23,1,1032,25000
la24,1,952,1102000
la25,1,990,1122000
la26,1,1218,25000
la27,1,1236,3136000
la28,1,1222,3183000
la29,1,1164,3133000
la30,1,1355,13000
la31,1,1784,65000
la32,1,1850,61000
la33,1,1719,64000
la34,1,1721,60000
la35,1,1888,66000
la36,1,1281,3685000
la37,1,1408,3561000
la38,1,1201,3519000
la39,1,1238,3548000
la40,1,1228,3546000
