inst.id,n.runs,best.f.min,total.time.min
ft06,1,55,999
ft10,1,936,238000
ft20,1,1178,391000
la01,1,666,999
la02,1,655,1000
la03,1,599,33000
la04,1,617,34000
la05,1,593,999
la06,1,926,1000
la07,1,890,1000
la08,1,863,1000
la09,1,951,1000
la10,1,958,1000
la11,1,1222,2000
la12,1,1039,3000
la13,1,1150,2000
la14,1,1292,3000
la15,1,1207,2000
la16,1,945,56000
la17,1,784,7000
la18,1,865,264000
la19,1,850,249000
la20,1,902,14000
la21,1,1047,1102000
la22,1,986,1189000
la23,1,1032,5000
la24,1,952,1109000
la25,1,987,1119000
la26,1,1218,51000
la27,1,1238,3166000
la28,1,1216,1281000
la29,1,1166,3245000
la30,1,1355,28000
la31,1,1784,71000
la32,1,1850,66000
la33,1,1719,69000
la34,1,1721,65000
la35,1,1888,71000
la36,1,1277,3867000
la37,1,1397,3543000
la38,1,1201,3666000
la39,1,1233,913000
la40,1,1231,3686000
