inst.id,n.runs,best.f.min,total.time.min
ft06,1,55,999
ft10,1,945,234000
ft20,1,1165,134000
la01,1,666,999
la02,1,655,999
la03,1,599,32000
la04,1,617,33000
la05,1,593,999
la06,1,926,1000
la07,1,890,1000
la08,1,863,1000
la09,1,951,1000
la10,1,958,1000
la11,1,1222,2000
la12,1,1039,2000
la13,1,1150,2000
la14,1,1292,3000
la15,1,1207,2000
la16,1,945,71000
la17,1,784,6000
la18,1,865,255000
la19,1,850,243000
la20,1,907,253000
la21,1,1055,1080000
la22,1,986,1146000
la23,1,1032,17000
la24,1,960,1089000
la25,1,984,1100000
la26,1,1218,62000
la27,1,1249,3085000
la28,1,1216,889000
la29,1,1172,3110000
la30,1,1355,77000
la31,1,1784,65000
la32,1,1850,61000
la33,1,1719,64000
la34,1,1721,61000
la35,1,1888,66000
la36,1,1271,3665000
la37,1,1409,3606000
la38,1,1201,3519000
la39,1,1233,227000
la40,1,1228,3558000
