inst.id,n.runs,best.f.min,best.f.max,best.f.mean
ft06,20,55,55,55
ft10,20,943,984,971.7
ft20,20,1193,1223,1213.2
la01,20,666,666,666
la02,20,655,655,655
la03,20,607,619,610.4
la04,20,596,605,602.6
la05,20,593,593,593
la06,20,926,926,926
la07,20,890,890,890
la08,20,863,863,863
la09,20,951,951,951
la10,20,958,958,958
la11,20,1222,1222,1222
la12,20,1039,1039,1039
la13,20,1150,1150,1150
la14,20,1292,1292,1292
la15,20,1207,1207,1207
la16,20,945,963,954.7
la17,20,784,799,791.5
la18,20,856,870,866.1
la19,20,850,868,862.3
la20,20,921,945,934.8
