inst.id,n.runs,best.f.min,best.f.max,best.f.mean,total.time.mean
ft06,20,55,55,55,NA
ft10,20,930,947,941,NA
ft20,20,1165,1178,1172.5,NA
la01,20,666,666,666,NA
la02,20,655,667,662,NA
la03,20,597,610,604.2,NA
la04,20,590,612,605.7,NA
la05,20,593,593,593,NA
la06,20,926,926,926,NA
la07,20,890,890,890,NA
la08,20,863,863,863,NA
la09,20,951,951,951,NA
la10,20,958,958,958,NA
la11,20,1222,1222,1222,NA
la12,20,1039,1039,1039,NA
la13,20,1150,1150,1150,NA
la14,20,1292,1292,1292,NA
la15,20,1207,1207,1207,NA
la16,20,945,982,951.2,NA
la17,20,784,797,790.1,NA
la18,20,848,866,853,NA
la19,20,842,874,859.2,NA
la20,20,902,932,918.4,NA
la20,20,902,NA,918.4,NA
la21,20,1046,NA,NA,NA
la22,20,927,NA,NA,NA
la23,20,1032,NA,NA,NA
la24,20,935,NA,NA,NA
la25,20,977,NA,NA,NA
la26,20,1218,NA,NA,NA
la27,20,1235,NA,NA,NA
la28,20,1216,NA,NA,NA
la29,20,1161,NA,NA,NA
la30,20,1355,NA,NA,NA
abz5,20,1234,NA,NA,NA
abz6,20,943,NA,NA,NA
abz7,20,660,NA,NA,NA
abz8,20,669,NA,NA,NA
abz9,20,683,NA,NA,NA
orb01,20,1959,NA,NA,NA
orb02,20,888,NA,NA,NA
orb03,20,1005,NA,NA,NA
orb04,20,1005,NA,NA,NA
orb05,20,887,NA,NA,NA
orb06,20,1010,NA,NA,NA
orb07,20,397,NA,NA,NA
orb08,20,899,NA,NA,NA
orb09,20,934,NA,NA,NA
orb10,20,944,NA,NA,NA
ta11,20,1357,NA,1370.2,175500
ta12,20,1370,NA,1374.3,155100
ta13,20,1342,NA,1364.2,177000
ta14,20,1345,NA,1350.7,194100
ta15,20,1339,NA,1350.1,118500
ta16,20,1360,NA,1367.8,204700
ta17,20,1464,NA,1477.9,223400
ta18,20,1398,NA,1409.6,175900
ta19,20,1339,NA,1345.3,213000
ta20,20,1351,NA,1358.4,224600
ta21,20,1642,NA,1652.5,281900
ta22,20,1603,NA,1609,362200
ta23,20,1560,NA,1570.3,449800
ta24,20,1646,NA,1654.1,337300
ta25,20,1598,NA,1608.6,419200
ta26,20,1648,NA,1657.9,476700
ta27,20,1683,NA,1688.5,400400
ta28,20,1612,NA,1619.9,292600
ta29,20,1629,NA,1634.5,354000
ta30,20,1587,NA,1601.4,443900
ta31,20,1764,NA,1775.3,355100
ta32,20,1800,NA,1821.8,517300
ta33,20,1798,NA,1812.1,439900
ta34,20,1831,NA,1843.7,340200
ta35,20,2010,NA,2017.6,432500
ta36,20,1822,NA,1828.5,530700
ta37,20,1775,NA,1789.1,567400
ta38,20,1676,NA,1682.8,599000
ta39,20,1798,NA,1812.2,369800
ta40,20,1677,NA,1688.3,567700
ta41,20,2021,NA,2038.4,973300
ta42,20,1959,NA,1968.9,951100
ta43,20,1866,NA,1887.7,520500
ta44,20,1986,NA,1996.3,710800
ta45,20,2008,NA,2012.6,980400
ta46,20,2018,NA,2043.2,666300
ta47,20,1904,NA,1922.5,530500
ta48,20,1959,NA,1972.9,1045300
ta49,20,1976,NA,1985.6,770400
ta50,20,1934,NA,1957.1,1019600
