inst.id,n.runs,best.f.min,best.f.max,best.f.mean
ft06,20,55,55,55
ft10,20,978,1010,982.5
ft20,20,1218,1253,1234.2
la01,20,666,678,672.4
la02,20,667,687,676.2
la03,20,610,632,624.8
la04,20,612,623,615.9
la05,20,593,593,593
la06,20,926,926,926
la07,20,890,890,890
la08,20,863,863,863
la09,20,951,951,951
la10,20,958,958,958
la11,20,1228,1252,1240.1
la12,20,1039,1039,1039
la13,20,1150,1150,1150
la14,20,1300,1342,1335.7
la15,20,1242,1310,1273.4
la16,20,992,1012,1007.3
la17,20,821,847,836.5
la18,20,870,896,885.2
la19,20,863,902,884.9
la20,20,932,961,947.4
