inst.id,best.f.min,n.runs
ft06,55,1
ft10,930,1
ft20,1165,1
orb01,1092,1
orb02,894,1
orb03,1029,1
orb04,1016,1
orb05,901,1
orb06,1028,1
orb07,405,1
orb08,914,1
orb09,943,1
la01,666,1
la02,655,1
la03,606,1
la04,593,1
la05,593,1
la06,926,1
la07,890,1
la08,863,1
la09,951,1
la10,958,1
la11,1222,1
la12,1039,1
la13,1150,1
la14,1292,1
la15,1207,1
la16,946,1
la17,784,1
la18,848,1
la19,852,1
la20,907,1
la21,1068,1
la22,956,1
la23,1032,1
la24,966,1
la25,1002,1
la26,1223,1
la27,1281,1
la28,1245,1
la29,1230,1
la30,1355,1
la31,1784,1
la32,1850,1
la33,1719,1
la34,1721,1
la35,1888,1
