inst.id,n.runs,best.f.min,total.time.min
ft10,1,930,372400
abz5,1,1234,951500
abz6,1,943,90900
la19,1,842,1462300
la20,1,902,1402300
orb01,1,1059,1482600
orb02,1,888,2484600
orb03,1,1005,2297600
orb04,1,1005,1013300
orb05,1,887,526000
ft06,1,55,NA
ft20,1,1165,NA
la01,1,666,NA
la02,1,655,NA
la03,1,597,NA
la04,1,590,NA
la05,1,593,NA
la06,1,926,NA
la07,1,890,NA
la08,1,863,NA
la09,1,951,NA
la10,1,958,NA
la11,1,1222,NA
la12,1,1039,NA
la13,1,1150,NA
la14,1,1292,NA
la15,1,1207,NA
la16,1,945,NA
la17,1,784,NA
la18,1,848,NA
la21,1,1053,NA
la22,1,927,NA
la23,1,1032,NA
la24,1,935,NA
la25,1,977,NA
la26,1,1218,NA
la27,1,1269,NA
la28,1,1216,NA
la29,1,1195,NA
la30,1,1355,NA
la31,1,1784,NA
la32,1,1850,NA
la33,1,1719,NA
la34,1,1721,NA
la35,1,1888,NA
la36,1,1268,NA
la37,1,1397,NA
la38,1,1209,NA
la39,1,1233,NA
la40,1,1222,NA
abz7,1,668,NA
abz8,1,687,NA
abz9,1,707,NA
