inst.id,n.runs,budget.time,best.f.min,best.f.mean,best.f.med,best.f.mode,best.f.max,best.f.sd,last.improvement.time.min,last.improvement.time.mean,last.improvement.time.med,last.improvement.time.mode,last.improvement.time.max,last.improvement.time.sd,total.time.min,total.time.mean,total.time.med,total.time.mode,total.time.max,total.time.sd,reach.best.f.min.runs,reach.best.f.min.time.min,reach.best.f.min.time.mean,reach.best.f.min.time.med,reach.best.f.min.time.mode,reach.best.f.min.time.max,reach.best.f.min.time.sd
dmu45,30,180000,3297,3315.56666666667,3315,3311,3331,7.6324323114264,10000,89366.6666666667,79500,77000,175000,47477.3872369845,180000,180000,180000,180000,180000,0,1,42000,42000,42000,42000,42000,0
dmu45,30,300000,3297,3312.73333333333,3311.5,3311,3326,6.62249735857764,14000,149966.666666667,111000,111000,298000,96439.1833849397,300000,3e+05,300000,300000,300000,0,1,42000,42000,42000,42000,42000,0
dmu45,30,1800000,3274,3292.46666666667,3291,3289,3309,7.20504293381802,523000,1233066.66666667,1248000,1055000,1748000,347816.235005402,1800000,1800000,1800000,1800000,1800000,0,1,1387000,1387000,1387000,1387000,1387000,0
dmu45,30,2003000,3274,3292.46666666667,3291,3289,3309,7.20504293381802,523000,1268266.66666667,1301000,1055000,2003000,370558.751759754,2003000,2003000,2003000,2003000,2003000,0,1,1387000,1387000,1387000,1387000,1387000,0
dmu45,30,NA,3274,3291.93333333333,3291,3292,3309,6.81748934135875,2003000,2162200,2136000,2075000,2467000,124643.602267453,2003000,2162200,2136000,2075000,2467000,124643.602267453,1,2282000,2282000,2282000,2282000,2282000,0
dmu41,30,180000,3298,3324.8,3327.5,3333,3344,11.7308905503141,6000,104600,121000,148000,175000,55444.0382666193,180000,180000,180000,180000,180000,0,1,53000,53000,53000,53000,53000,0
dmu41,30,300000,3289,3315.06666666667,3316,3316,3336,11.3985278339621,6000,188266.666666667,214500,214500,300000,85368.9491048377,300000,3e+05,300000,300000,300000,0,1,229000,229000,229000,229000,229000,0
dmu41,30,1758000,3278,3284.9,3284,3282,3295,5.49827559174316,696000,1075900,1047000,1290000,1758000,234584.790934815,1758000,1758000,1758000,1758000,1758000,0,5,886000,886000,1236000,1290000,1290000,187502.533316219
dmu41,30,NA,3278,3284.9,3284,3282,3295,5.49827559174316,1758000,1973333.33333333,1968000,1975500,2181000,86902.7729938636,1758000,1973333.33333333,1968000,1975500,2181000,86902.7729938636,5,1823000,1823000,1983000,1983000,2136000,117967.368369393
dmu42,30,180000,3424,3438.83333333333,3440,3439,3452,6.86361387333953,12000,107233.333333333,104000,104000,179000,46298.6432610729,180000,180000,180000,180000,180000,0,1,90000,90000,90000,90000,90000,0
dmu42,30,300000,3424,3436.23333333333,3436,3434,3452,6.43097747347694,12000,156466.666666667,174500,141500,275000,75097.5151493656,300000,3e+05,300000,300000,300000,0,1,90000,90000,90000,90000,90000,0
dmu42,30,1800000,3395,3412.73333333333,3412,3412,3432,8.07692897140958,475000,1109966.66666667,1137000,1137000,1750000,311991.985234516,1800000,1800000,1800000,1800000,1800000,0,1,1005000,1005000,1005000,1005000,1005000,0
dmu42,30,1912000,3395,3412.73333333333,3412,3412,3432,8.07692897140958,475000,1140600,1150500,1150500,1912000,343624.454189805,1912000,1912000,1912000,1912000,1912000,0,1,1005000,1005000,1005000,1005000,1005000,0
dmu42,30,NA,3395,3412.73333333333,3412,3412,3432,8.07692897140958,1912000,2091066.66666667,2076000,2076000,2479000,121487.599291488,1912000,2091066.66666667,2076000,2076000,2479000,121487.599291488,1,2007000,2007000,2007000,2007000,2007000,0
dmu44,30,180000,3515,3531.6,3531.5,3528,3548,8.47959010069839,12000,108466.666666667,107500,12000,180000,53264.941781518,180000,180000,180000,180000,180000,0,2,83000,83000,95000,95000,107000,16970.5627484771
dmu44,30,300000,3515,3526.73333333333,3526.5,3525,3537,6.14162358256227,12000,169800,179500,225000,300000,80627.0255024909,300000,3e+05,300000,300000,300000,0,3,83000,83000,107000,107000,185000,53329.1665038935
dmu44,30,1800000,3489,3503.06666666667,3509,3512,3512,10.1842790726632,556000,979200,928000,876000,1394000,212096.172070352,1800000,1800000,1800000,1800000,1800000,0,9,1051000,1051000,1187000,1187000,1350000,94485.4486151174
dmu44,30,2095000,3489,3503.06666666667,3509,3512,3512,10.1842790726632,556000,1002566.66666667,928000,876000,2095000,285338.84071922,2095000,2095000,2095000,2095000,2095000,0,9,1051000,1051000,1187000,1187000,1350000,94485.4486151174
dmu44,30,NA,3489,3503.06666666667,3509,3512,3512,10.1842790726632,2095000,2306100,2245000,2241500,2585000,148911.533561327,2095000,2306100,2245000,2241500,2585000,148911.533561327,9,2374000,2374000,2557000,2457000,2585000,76881.5828256532
dmu43,30,180000,3458,3475.1,3473,3466,3499,11.4330132993646,6000,82266.6666666667,76500,22000,157000,50445.5550369753,180000,180000,180000,180000,180000,0,1,144000,144000,144000,144000,144000,0
dmu43,30,300000,3454,3469.3,3468,3469,3499,10.9265573339645,6000,156700,138000,138000,293000,94275.5133308385,300000,3e+05,300000,300000,300000,0,2,195000,195000,207500,207500,220000,17677.6695296637
dmu43,30,1800000,3445,3450.6,3450,3450,3461,2.67298102990031,356000,674466.666666667,690000,795000,1377000,198206.394227441,1800000,1800000,1800000,1800000,1800000,0,1,1377000,1377000,1377000,1377000,1377000,0
dmu43,30,1891000,3445,3450.6,3450,3450,3461,2.67298102990031,356000,713200,690000,795000,1891000,297765.170145409,1891000,1891000,1891000,1891000,1891000,0,1,1377000,1377000,1377000,1377000,1377000,0
dmu43,30,NA,3445,3450.6,3450,3450,3461,2.67298102990031,1891000,1974833.33333333,1968500,1980000,2234000,67961.9991858195,1891000,1974833.33333333,1968500,1980000,2234000,67961.9991858195,1,2234000,2234000,2234000,2234000,2234000,0
dmu49,30,180000,3726,3776.03333333333,3775,3773,3817,21.7025079328338,20000,112133.333333333,108000,137000,180000,45346.7356794468,180000,180000,180000,180000,180000,0,1,137000,137000,137000,137000,137000,0
dmu49,30,300000,3726,3766.63333333333,3764,3768.5,3800,17.8102708324842,20000,183800,197000,180000,297000,75594.3803786206,300000,3e+05,300000,300000,300000,0,1,137000,137000,137000,137000,137000,0
dmu49,30,1800000,3717,3738.2,3739,3732.5,3780,13.8349881298006,137000,1326466.66666667,1381000,1381000,1789000,427364.879499808,1800000,1800000,1800000,1800000,1800000,0,1,1683000,1683000,1683000,1683000,1683000,0
dmu49,30,2126000,3717,3738.2,3739,3732.5,3780,13.8349881298006,137000,1364400,1435500,1435500,2126000,446368.766674001,2126000,2126000,2126000,2126000,2126000,0,1,1683000,1683000,1683000,1683000,1683000,0
dmu49,30,NA,3717,3736.76666666667,3733,3729,3778,13.7155419854274,2126000,2849400,2844000,2844000,3221000,237969.948841706,2126000,2849400,2844000,2844000,3221000,237969.948841706,1,2721000,2721000,2721000,2721000,2721000,0
dmu48,30,180000,3816,3840.7,3839,3839,3872,12.24505530042,15000,106933.333333333,110500,110000,180000,49658.7897788383,180000,180000,180000,180000,180000,0,1,81000,81000,81000,81000,81000,0
dmu48,30,300000,3793,3832.9,3832.5,3834,3860,11.6392617374601,15000,196566.666666667,220000,228000,299000,73142.6020174635,300000,3e+05,300000,300000,300000,0,1,250000,250000,250000,250000,250000,0
dmu48,30,1800000,3785,3811.86666666667,3812,3812,3829,11.7670883321275,641000,1464133.33333333,1535500,1535500,1795000,267479.13013443,1800000,1800000,1800000,1800000,1800000,0,1,1394000,1394000,1394000,1394000,1394000,0
dmu48,30,2019000,3785,3811.7,3812,3812,3829,11.8733256532854,641000,1502900,1572500,1572500,2019000,284376.310910203,2019000,2019000,2019000,2019000,2019000,0,1,1394000,1394000,1394000,1394000,1394000,0
dmu48,30,NA,3785,3810.63333333333,3812,3816.5,3825,11.1432160693319,2019000,2908400,2939000,2994000,3643000,365895.745468192,2019000,2908400,2939000,2994000,3643000,365895.745468192,1,2782000,2782000,2782000,2782000,2782000,0
dmu47,30,180000,3976,4003.56666666667,4002,4002,4039,15.1286057732918,10000,99700,106000,84500,159000,42777.8141015918,180000,180000,180000,180000,180000,0,1,103000,103000,103000,103000,103000,0
dmu47,30,300000,3970,3994.96666666667,3992,3991,4031,13.1529027433002,10000,180400,187500,187500,299000,90082.1846981966,300000,3e+05,300000,300000,300000,0,1,256000,256000,256000,256000,256000,0
dmu47,30,1800000,3951,3963.9,3965,3965,3976,8.78615682332941,1002000,1460700,1453000,1453000,1791000,239360.520179686,1800000,1800000,1800000,1800000,1800000,0,7,1307000,1307000,1715000,1715000,1772000,160809.855182478
dmu47,30,2149000,3951,3963.9,3965,3965,3976,8.78615682332941,1103000,1498933.33333333,1473500,1473500,2149000,254680.859567195,2149000,2149000,2149000,2149000,2149000,0,7,1307000,1307000,1715000,1715000,1772000,160809.855182478
dmu47,30,NA,3951,3962.83333333333,3964,3957.5,3974,8.5785752909786,2149000,2766333.33333333,2776000,2846000,2979000,155002.632532335,2149000,2766333.33333333,2776000,2846000,2979000,155002.632532335,9,2719000,2719000,2822000,2786000,2858000,62628.7562634858
dmu46,30,180000,4069,4109.63333333333,4110.5,4105,4133,14.8335205980689,26000,109000,107500,100500,179000,51642.0037539612,180000,180000,180000,180000,180000,0,1,34000,34000,34000,34000,34000,0
dmu46,30,300000,4069,4098.7,4098,4091,4125,13.8194016537969,34000,209066.666666667,238000,300000,300000,85636.7361283266,300000,3e+05,300000,300000,300000,0,1,34000,34000,34000,34000,34000,0
dmu46,30,1800000,4040,4056.63333333333,4053,4043,4097,13.4970835504496,34000,1337366.66666667,1476000,1476000,1778000,387994.977156729,1800000,1800000,1800000,1800000,1800000,0,1,1747000,1747000,1747000,1747000,1747000,0
dmu46,30,2490000,4040,4056.53333333333,4053,4043,4094,13.195436341019,34000,1386166.66666667,1484500,1484500,2490000,436515.756585173,2490000,2490000,2490000,2490000,2490000,0,1,1747000,1747000,1747000,1747000,1747000,0
dmu46,30,NA,4040,4056,4052,4043,4094,13.248292017438,2490000,2791400,2770000,2770000,3188000,185736.483705572,2490000,2791400,2770000,2770000,3188000,185736.483705572,2,2628000,2628000,2684000,2684000,2740000,79195.9594928933
dmu50,30,180000,3748,3781.56666666667,3781.5,3775,3807,14.3278925787126,21000,116000,118000,171000,180000,45877.6483779373,180000,180000,180000,180000,180000,0,1,156000,156000,156000,156000,156000,0
dmu50,30,300000,3748,3775.03333333333,3772.5,3768,3802,12.826382652721,27000,165600,173500,181000,294000,74325.7508632056,300000,3e+05,300000,300000,300000,0,1,156000,156000,156000,156000,156000,0
dmu50,30,1800000,3735,3743.4,3741,3735,3761,8.43882652407598,181000,1501300,1621500,1647000,1797000,336898.035326561,1800000,1800000,1800000,1800000,1800000,0,10,1262000,1262000,1644500,1644500,1752000,175795.999196038
