inst.id,n.runs,budget.time,best.f.min,best.f.mean,best.f.med,best.f.mode,best.f.max,best.f.sd,last.improvement.time.min,last.improvement.time.mean,last.improvement.time.med,last.improvement.time.mode,last.improvement.time.max,last.improvement.time.sd,total.time.min,total.time.mean,total.time.med,total.time.mode,total.time.max,total.time.sd,reach.best.f.min.runs,reach.best.f.min.time.min,reach.best.f.min.time.mean,reach.best.f.min.time.med,reach.best.f.min.time.mode,reach.best.f.min.time.max,reach.best.f.min.time.sd
dmu73,20,180000,6361,6479.9,6477,6468,6567,53.9843057115482,116000,156300,164000,180000,180000,22985.3500253852,180000,180000,180000,180000,180000,0,1,119000,119000,119000,119000,119000,0
dmu73,20,300000,6349,6433.85,6447.5,6417,6530,53.3037719609331,166000,264250,279500,294000,300000,37649.1769673095,300000,300000,300000,300000,300000,0,1,273000,273000,273000,273000,273000,0
dmu73,20,1800000,6199,6281.85,6285,6284,6349,34.1995306215866,1094000,1578400,1653500,1795000,1799000,221621.393609153,1800000,1800000,1800000,1800000,1800000,0,1,1405000,1405000,1405000,1405000,1405000,0
dmu73,20,3600000,6159,6229.2,6232.5,6245.5,6289,31.9845357370681,2764000,3226800,3276500,3289000,3591000,227068.410744196,3600000,3600000,3600000,3600000,3600000,0,1,3217000,3217000,3217000,3217000,3217000,0
dmu73,20,3915000,6159,6229.2,6232.5,6245.5,6289,31.9845357370681,2764000,3269950,3289000,3289000,3915000,270035.762738743,3915000,3915000,3915000,3915000,3915000,0,1,3217000,3217000,3217000,3217000,3217000,0
dmu73,20,NA,6159,6228.2,6232.5,6245.5,6289,32.5181730567289,3915000,4055350,4039500,4039500,4247000,95896.4765282141,3915000,4055350,4039500,4039500,4247000,95896.4765282141,1,3935000,3935000,3935000,3935000,3935000,0
dmu75,20,180000,6454,6544.8,6539.5,6539.5,6683,68.3994459811358,159000,171500,174500,171000,180000,7863.97515657049,180000,180000,180000,180000,180000,0,1,180000,180000,180000,180000,180000,0
dmu75,20,300000,6377,6481.25,6478.5,6423,6592,66.9028163989025,195000,273700,274500,273000,300000,25659.9216473349,300000,300000,300000,300000,300000,0,1,238000,238000,238000,238000,238000,0
dmu75,20,1800000,6291,6324.85,6314,6312,6438,35.0882721447674,865000,1558050,1600000,1600000,1780000,224804.587656878,1800000,1800000,1800000,1800000,1800000,0,1,1284000,1284000,1284000,1284000,1284000,0
dmu75,20,3600000,6229,6266.45,6264.5,6251.5,6325,23.9263673095516,2605000,3224450,3260000,3260000,3593000,237694.513144387,3600000,3600000,3600000,3600000,3600000,0,1,3298000,3298000,3298000,3298000,3298000,0
dmu75,20,3932000,6229,6266.45,6264.5,6251.5,6325,23.9263673095516,2605000,3276650,3274500,3274500,3932000,272068.736477422,3932000,3932000,3932000,3932000,3932000,0,1,3298000,3298000,3298000,3298000,3298000,0
dmu75,20,NA,6226,6264.3,6264,6265,6325,24.986522683028,3932000,4111950,4112000,4112000,4260000,86344.7648734573,3932000,4111950,4112000,4112000,4260000,86344.7648734573,1,4260000,4260000,4260000,4260000,4260000,0
dmu74,20,180000,6445,6559.75,6576.5,6583,6658,57.2389957247587,119000,160150,165000,176500,180000,18212.9942045435,180000,180000,180000,180000,180000,0,1,177000,177000,177000,177000,177000,0
dmu74,20,300000,6414,6508.4,6493.5,6461,6618,54.9731034712718,156000,263200,279000,257500,300000,40783.897751312,300000,300000,300000,300000,300000,0,1,275000,275000,275000,275000,275000,0
dmu74,20,1800000,6305,6343.2,6341.5,6340,6397,21.9439477329232,1195000,1623300,1704500,1651000,1800000,182867.539060669,1800000,1800000,1800000,1800000,1800000,0,1,1795000,1795000,1795000,1795000,1795000,0
dmu74,20,3600000,6247,6299.75,6298,6302,6354,28.404734594226,2566000,3070500,3075000,3075000,3543000,267623.557298405,3600000,3600000,3600000,3600000,3600000,0,1,3092000,3092000,3092000,3092000,3092000,0
dmu74,20,3728000,6247,6299.75,6298,6302,6354,28.404734594226,2566000,3093400,3075000,3075000,3728000,302867.245540109,3728000,3728000,3728000,3728000,3728000,0,1,3092000,3092000,3092000,3092000,3092000,0
dmu74,20,NA,6247,6299.15,6298,6302,6354,28.7517047549496,3728000,3944800,3966000,3895000,4055000,86410.647492077,3728000,3944800,3966000,3895000,4055000,86410.647492077,1,3962000,3962000,3962000,3962000,3962000,0
dmu72,20,180000,6642,6742.4,6753,6753,6812,45.8572154685205,112000,166400,174000,180000,180000,17742.0108039766,180000,180000,180000,180000,180000,0,1,164000,164000,164000,164000,164000,0
dmu72,20,300000,6599,6690,6690,6690,6758,45.5873943795408,189000,267700,275500,294000,297000,30549.5283795106,300000,300000,300000,300000,300000,0,1,272000,272000,272000,272000,272000,0
dmu72,20,1800000,6533,6569.55,6566.5,6585,6624,24.7311331598134,882000,1489750,1522000,1522000,1800000,281034.718776693,1800000,1800000,1800000,1800000,1800000,0,1,1681000,1681000,1681000,1681000,1681000,0
dmu72,20,3600000,6487,6531,6531,6533,6590,22.5575287933576,2859000,3262600,3290000,3290000,3528000,202601.865217163,3600000,3600000,3600000,3600000,3600000,0,1,3410000,3410000,3410000,3410000,3410000,0
dmu72,20,4057000,6487,6531,6531,6533,6590,22.5575287933576,2859000,3292500,3290000,3290000,4057000,267002.956813906,4057000,4057000,4057000,4057000,4057000,0,1,3410000,3410000,3410000,3410000,3410000,0
dmu72,20,NA,6487,6529.55,6527,6521,6590,22.7514603348537,4057000,4195950,4200000,4200000,4349000,67377.5497515776,4057000,4195950,4200000,4200000,4349000,67377.5497515776,1,4225000,4225000,4225000,4225000,4225000,0
